date_raw,Mississippi State Penitentiary,Central Mississippi Correctional Facility,Youthful Offender Unit,CMCF TVC,South Mississippi Correctional Institution,COUNTY JAILS,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Washington County,Winston County,Yazoo County,PRIVATE PRISONS,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,TOTALS
Capacity,"4,648","3,469",58,350,"3,282","1,973","1,848",92,102,96,102,102,102,102,102,102,92,93,93,260,102,102,102,102,"4,500",300,369,280,362,280,280,274,280,355,280,280,280,300,280,300,5000,"1,500","1,000","1,500","1,000",16,6,6,4,"25,144"
22-Sep-14,"3,313","2,336",37,118,"3,072","1,665","1,125",83,46,52,61,49,47,53,52,54,69,91,59,172,102,48,43,44,"4,311",300,360,275,298,261,274,260,274,355,257,280,276,277,273,291,4072,"1,191",994,"1,044",843,7,3,2,2,"20,056"
23-Sep-14,"3,307","2,355",36,118,"3,070","1,670","1,123",80,46,52,62,50,47,53,52,53,69,92,60,172,102,47,43,43,"4,300",299,359,276,297,261,272,260,274,355,256,279,275,275,271,291,4070,"1,190",994,"1,043",843,6,3,2,1,"20,055"
24-Sep-14,"3,299","2,363",34,118,"3,054","1,695","1,106",79,46,50,59,48,47,53,49,53,69,91,59,170,101,46,40,46,"4,293",297,358,276,300,262,271,260,272,353,257,280,274,274,273,286,4084,"1,188",994,"1,052",850,6,3,2,1,"20,052"
25-Sep-14,"3,295","2,381",34,117,"3,046","1,676","1,111",82,46,50,59,47,46,53,48,53,73,91,58,169,101,46,43,46,"4,300",297,358,274,300,261,272,259,272,353,261,281,277,271,278,286,4076,"1,188",991,"1,050",847,6,3,2,1,"20,042"
26-Sep-14,"3,285","2,377",34,113,"3,033","1,681","1,093",81,44,49,57,45,45,52,47,52,70,90,57,170,100,46,43,45,"4,290",294,359,274,300,260,272,259,267,343,262,281,277,277,279,286,4082,"1,198",997,"1,045",842,6,3,2,1,"19,994"
27-Sep-14,"3,281","2,367",34,118,"3,033","1,677","1,096",81,44,49,56,45,45,52,47,52,70,90,57,174,100,46,43,45,"4,288",294,359,274,300,260,272,259,267,343,262,281,275,277,279,286,4078,"1,197",997,"1,043",841,6,3,2,1,"19,978"
28-Sep-14,"3,279","2,375",34,111,"3,032","1,677","1,096",81,44,49,56,45,45,52,47,52,70,90,57,174,100,46,43,45,"4,285",294,359,274,300,260,272,258,267,343,260,281,275,277,279,286,4077,"1,197",997,"1,042",841,6,3,2,1,"19,972"
29-Sep-14,"3,296","2,362",34,111,"3,042","1,641","1,111",78,46,50,56,42,46,53,48,51,73,93,57,184,100,46,43,45,"4,300",294,364,274,298,262,273,258,266,352,260,282,276,275,280,286,4065,"1,196",996,"1,035",838,6,3,2,1,"19,968"
30-Sep-14,"3,312","2,353",34,110,"3,046","1,631","1,106",75,46,50,55,41,46,53,48,50,73,93,57,184,99,46,44,46,"4,305",294,363,277,299,279,269,257,265,353,257,280,276,274,277,285,4051,"1,198",997,"1,019",837,6,3,2,1,"19,954"
Avg Pop,"3,298","2,367",38,115,"3,096","1,731","1,124",84,49,53,59,50,48,52,51,53,69,90,58,171,97,47,46,48,"4,324",297,360,276,299,270,276,264,269,352,264,280,277,274,276,291,"4,099","1,196",996,"1,063",844,6,4,1,1,"20,198"
