date_raw,Mississippi State Penitentiary,Central Mississippi Correctional Facility,Youthful Offender Unit,CMCF TVC,South Mississippi Correctional Institution,COUNTY JAILS,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Washington County,Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION    (CLOSED),E-CODE,TOTALS
Capacity,"4,648","3,469",58,350,"3,282","1,973","1,848",92,102,96,102,102,102,102,102,102,92,93,93,260,102,102,102,102,"4,438",300,369,280,300,280,280,274,280,355,280,280,280,300,280,300,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,6,0,"25,710"
10-Nov-14,"3,128","2,272",33,118,"2,796","1,502","1,060",85,48,50,49,42,43,42,51,56,62,87,53,167,94,49,39,43,"4,249",298,359,263,297,270,260,262,266,333,249,280,277,283,264,288,"4,290",0,"1,193","1,000","1,247",850,8,3,4,1,0,0,"19,456"
11-Nov-14,"3,113","2,265",33,118,"2,859","1,447","1,074",85,48,51,50,43,47,40,52,55,63,82,56,176,93,50,39,44,"4,227",298,357,262,299,265,255,259,264,328,251,278,277,282,266,286,"4,274",0,"1,191",997,"1,239",847,5,3,1,1,0,0,"19,415"
12-Nov-14,"3,111","2,215",33,108,"2,791","1,448","1,082",85,52,50,51,43,46,43,52,55,63,79,56,177,93,52,39,46,"4,236",298,362,261,298,263,253,255,264,337,258,277,275,282,266,287,"4,282",0,"1,194",996,"1,246",846,5,3,1,1,0,0,"19,311"
13-Nov-14,"3,125","2,239",33,105,"2,788","1,433","1,080",85,52,48,51,43,46,43,52,54,63,79,56,174,92,54,44,44,"4,236",300,361,259,299,263,255,253,266,335,258,277,276,280,267,287,"4,286",0,"1,194","1,000","1,244",848,5,3,1,1,0,0,"19,330"
14-Nov-14,"3,131","2,236",33,105,"2,732","1,434","1,070",84,49,48,52,42,45,41,51,54,59,78,57,175,98,52,44,41,"4,225",300,359,257,299,261,262,253,265,332,257,277,275,277,265,286,"4,338",0,"1,188",999,"1,303",848,4,2,1,1,0,0,"19,308"
15-Nov-14,"3,129","2,234",33,104,"2,733","1,426","1,080",84,49,48,52,42,45,41,51,54,59,78,57,185,98,52,44,41,"4,222",299,359,257,299,261,262,253,264,332,257,277,275,276,265,286,"4,335",0,"1,187",999,"1,302",847,4,2,1,1,0,0,"19,300"
16-Nov-14,"3,115","2,233",33,103,"2,730","1,451","1,067",84,49,48,51,42,45,41,51,54,59,78,57,173,98,52,44,41,"4,221",299,359,257,299,261,262,253,264,332,257,277,274,276,265,286,"4,334",0,"1,187",999,"1,301",847,4,2,1,1,0,0,"19,291"
17-Nov-14,"3,126","2,246",33,102,"2,652","1,510","1,083",84,51,48,51,42,47,43,52,54,63,78,56,178,98,53,43,42,"4,216",299,358,257,301,259,264,251,264,331,256,277,274,275,264,286,"4,329",0,"1,187",999,"1,299",844,6,3,2,1,,,"19,303"
18-Nov-14,"3,132","2,260",32,102,"2,638","1,491","1,094",87,52,48,51,41,46,43,51,51,68,80,57,180,101,53,43,42,"4,215",299,356,263,301,258,264,253,260,331,256,278,274,274,262,286,"4,344",0,"1,186",999,"1,299",860,6,3,2,1,,,"19,314"
