Location,Mississippi State Penitentiary,MSP TVC,Central Mississippi Correctional Facility,Youthful Offender Unit,CMCF TVC,South Mississippi Correctional Institution,County Jails,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Leflore TVC Support,Leflore TVC,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Flowood TVC,Simpson TVC and Simpson TVC support,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Washington County,Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,TOTALS
Capacity,"3,590",,"2,876",58,,"2,882","1,986","1,950",92,102,96,102,102,102,102,102,20,82,102,92,93,93,260,,102,102,102,102,"4,378",240,369,280,300,280,280,274,280,355,280,280,280,300,280,300,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,"23,606"
1-Feb-16,"3,266",20,"2,506",29,9,"2,746","1,351",964,0,34,74,61,61,40,0,20,0,0,56,85,82,81,143,11,50,82,52,32,"3,960",0,363,272,262,271,270,266,282,346,274,279,275,238,266,296,"3,919",0,"1,146","1,000",922,851,10,3,5,2,"18,780"
2-Feb-16,"3,260",21,"2,492",29,10,"2,772","1,372",975,0,34,73,63,61,40,0,21,0,0,62,81,85,82,143,11,50,79,58,32,"3,994",49,364,272,262,271,262,267,282,346,276,280,275,237,264,287,"3,906",0,"1,142",986,927,851,10,3,5,2,"18,841"
3-Feb-16,"3,281",21,"2,460",29,11,"2,772","1,388",976,0,34,73,65,61,40,0,19,0,0,62,81,85,83,144,10,50,79,58,32,"4,034",107,354,271,261,271,262,258,282,345,275,280,280,237,265,286,"3,895",0,"1,141",991,909,854,10,3,5,2,"18,877"
4-Feb-16,"3,259",2,"2,507",29,11,"2,778","1,364",996,0,34,73,66,62,39,0,21,0,0,62,83,84,86,145,9,64,78,58,32,"4,056",161,351,272,251,275,266,257,281,339,275,279,280,236,264,269,"3,862",0,"1,138",976,895,853,10,3,5,2,"18,874"
5-Feb-16,"3,332",0,"2,554",29,1,"2,778","1,378","1,015",0,34,71,64,63,36,0,21,0,0,84,84,83,85,128,20,79,78,54,31,"3,866",213,251,259,248,255,250,257,259,339,270,259,260,235,243,268,"3,875",0,"1,137",976,899,863,9,3,4,2,"18,837"
6-Feb-16,"3,329",0,"2,554",29,2,"2,778","1,378","1,012",0,34,71,64,63,36,0,21,0,0,84,84,83,85,128,20,76,78,54,31,"3,863",213,251,259,248,253,250,257,259,339,269,259,260,235,243,268,"3,872",0,"1,136",975,898,863,9,3,4,2,"18,826"
7-Feb-16,"3,329",0,"2,555",29,2,"2,777","1,378","1,012",0,34,71,64,63,36,0,21,0,0,84,84,83,85,128,20,76,78,54,31,"3,862",213,251,259,248,253,250,257,259,339,269,259,260,234,243,268,"3,872",0,"1,136",975,898,863,9,3,4,2,"18,825"
8-Feb-16,"3,339",0,"2,621",28,2,"2,787","1,393","1,034",0,34,73,64,62,39,0,21,0,0,84,86,84,85,134,20,78,78,57,35,"3,817",239,250,258,248,252,249,246,246,321,253,259,260,234,237,265,"3,878",0,"1,136",982,897,863,9,3,4,2,"18,908"
9-Feb-16,"3,361",0,"2,669",28,2,"2,807","1,421","1,040",0,34,73,67,62,39,0,21,0,0,84,86,84,87,133,20,73,85,57,35,"3,696",239,250,248,240,251,248,238,237,240,253,259,260,234,237,262,"3,906",0,"1,137",982,925,862,9,3,4,2,"18,939"
