date_raw,Mississippi State Penitentiary,Central Mississippi Correctional Facility,Youthful Offender Unit,CMCF TVC,South Mississippi Correctional Institution,COUNTY JAILS,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Lefore TVC Support,Lefore TVC,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Flowood TVC,Simpson TVC support,Simpson TVC,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Washington County,Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,TOTALS
Capacity,"3,590","3,506",58,,"3,082","1,986","1,848",92,102,96,102,102,102,102,20,82,102,92,93,93,260,,20,82,102,102,102,"4,378",240,369,280,300,280,280,274,280,355,280,280,280,300,280,300,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,"24,436"
1-Apr-16,"3,370","2,817",32,5,"2,926","1,472","1,196",0,30,70,81,70,41,0,20,79,92,88,86,89,173,30,7,80,93,67,0,"3,425",240,294,240,240,200,200,240,239,259,199,200,200,236,199,239,"3,949",0,"1,126",996,931,896,12,4,6,2,"19,204"
2-Apr-16,"3,369","2,816",31,5,"2,925","1,471","1,193",0,29,69,80,70,41,0,20,79,92,88,86,89,173,30,7,80,93,67,0,"3,424",239,294,240,240,200,200,240,239,259,199,200,200,236,199,239,"3,949",0,"1,126",996,931,896,12,4,6,2,"19,195"
3-Apr-16,"3,369","2,816",31,5,"2,925","1,472","1,192",0,29,69,80,70,41,0,20,79,92,88,86,89,173,30,7,80,93,66,0,"3,410",238,293,239,239,199,199,239,238,258,198,199,199,236,198,238,"3,948",0,"1,125",996,931,896,12,4,6,2,"19,180"
4-Apr-16,"3,369","2,816",31,5,"2,925","1,456","1,192",0,29,69,80,70,41,0,20,79,92,88,86,89,173,30,7,80,93,66,0,"3,424",239,294,240,240,200,200,240,239,259,199,200,200,236,199,239,"3,952",0,"1,126",997,932,897,15,5,7,3,"19,185"
5-Apr-16,"3,354","2,830",32,5,"2,962","1,460","1,185",0,30,74,81,75,41,0,74,19,92,87,84,88,171,28,6,74,90,71,0,"3,414",237,292,239,242,200,200,240,240,259,197,201,199,235,196,237,"3,932",0,"1,120",992,929,891,14,5,7,2,"19,188"
6-Apr-16,"3,354","2,830",32,5,"2,962","1,457","1,185",0,30,74,81,75,41,0,74,19,92,87,84,88,171,28,6,74,90,71,0,"3,426",237,293,240,243,201,200,241,241,260,198,202,200,235,197,238,"3,936",0,"1,121",993,930,892,19,6,9,4,"19,206"
7-Apr-16,"3,354","2,830",32,5,"2,962","1,463","1,180",0,30,74,81,75,41,0,74,19,92,87,84,87,171,28,5,73,89,70,0,"3,412",236,292,239,242,200,199,240,240,259,197,201,199,235,196,237,"3,932",0,"1,120",992,929,891,19,6,9,4,"19,189"
8-Apr-16,"3,354","2,830",33,5,"2,963","1,454","1,190",0,31,75,82,76,42,0,75,20,93,88,85,87,171,28,5,73,89,70,0,"3,412",236,292,239,242,200,199,240,240,259,197,201,199,235,196,237,"3,932",0,"1,120",992,929,891,19,6,9,4,"19,192"
9-Apr-16,"3,354","2,830",33,5,"2,962","1,452","1,189",0,30,75,82,76,42,0,75,20,93,88,85,87,171,28,5,73,89,70,0,"3,412",236,292,239,242,200,199,240,240,259,197,201,199,235,196,237,"3,932",0,"1,120",992,929,891,19,6,9,4,"19,188"
