date_raw,Mississippi State Penitentiary,Central Mississippi Correctional Facility,Youthful Offender Unit,CMCF TVC,South Mississippi Correctional Institution,COUNTY JAILS,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore TVC,Leflore TVC Support,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Flowood TVC,Simpson TVC,Simpson TVC Support,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Washington County,Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,TOTALS
Capacity,"3,590","3,506",58,,"3,082","1,986","1,848",92,102,96,102,102,102,102,82,20,102,92,93,93,260,,82,20,102,102,102,"4,378",240,369,280,300,280,280,274,280,355,280,280,280,300,280,300,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,"24,436"
19-Jul-16,"3,392","3,217",32,11,"3,004","1,481","1,071",0,0,76,81,68,0,0,56,19,94,83,90,87,165,25,56,15,89,67,0,"3,504",240,294,238,240,199,200,270,271,259,199,199,239,219,198,239,"3,848",0,"1,151","1,000",811,886,15,4,6,5,"19,575"
20-Jul-16,"3,388","3,238",32,11,"2,999","1,507","1,069",0,0,75,80,68,0,0,56,19,94,83,88,86,164,25,56,15,93,67,0,"3,501",240,294,240,240,197,200,270,270,259,199,198,239,219,197,239,"3,841",0,"1,152",995,808,886,15,4,6,5,"19,601"
21-Jul-16,"3,400","3,220",31,11,"2,997","1,507","1,072",0,0,75,81,67,0,0,55,19,93,83,89,84,164,25,56,15,93,73,0,"3,503",240,291,239,240,197,200,270,267,259,200,199,240,224,199,238,"3,849",0,"1,159","1,000",793,897,14,4,6,4,"19,604"
date_raw,Mississippi State Penitentiary,Central Mississippi Correctional Facility,Youthful Offender Unit,CMCF TVC,South Mississippi Correctional Institution,COUNTY JAILS,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore TVC,Leflore TVC Support,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Flowood TVC,Simpson TVC,Simpson TVC Support,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Washington County,Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,TOTALS
Capacity,"3,590","3,506",58,,"3,082","1,781","1,848",92,102,96,102,102,102,102,82,20,102,92,93,93,260,,82,20,102,102,102,"4,378",240,369,280,300,280,280,274,280,355,280,280,280,300,280,300,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,"24,231"
22-Jul-16,"3,394","3,205",32,21,"2,990","1,487","1,081",0,0,73,80,67,0,0,65,19,92,78,89,84,160,30,64,15,92,73,0,"3,503",239,292,240,240,197,199,270,266,260,200,199,240,224,200,237,"3,847",0,"1,161",999,791,896,11,4,4,3,"19,571"
23-Jul-16,"3,394","3,208",31,21,"2,987","1,487","1,081",0,0,73,80,67,0,0,65,19,92,78,89,84,160,30,64,15,92,73,0,"3,503",239,292,240,240,197,199,270,266,260,200,199,240,224,200,237,"3,847",0,"1,161",999,791,896,11,4,4,3,"19,570"
24-Jul-16,"3,393","3,209",31,21,"2,984","1,487","1,079",0,0,73,80,67,0,0,64,19,92,78,89,84,160,30,64,15,91,73,0,"3,502",239,292,239,240,197,199,270,266,260,200,199,240,224,200,237,"3,847",0,"1,161",999,791,896,11,4,4,3,"19,564"
25-Jul-16,"3,396","3,230",30,21,"2,977","1,481","1,078",0,0,73,80,67,0,0,63,19,91,83,90,84,162,28,60,15,91,72,0,"3,506",239,292,239,240,199,198,268,268,260,199,200,240,224,200,240,"3,843",0,"1,161",997,789,896,13,4,5,4,"19,575"
