date_raw,Mississippi State Penitentiary,Central Mississippi Correctional Facility,Youthful Offender Unit,CMCF TVC,South Mississippi Correctional Institution,COUNTY JAILS,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore TVC,Leflore TVC Support,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Rankin RID,Flowood TVC,Simpson TVC,Simpson TVC Support,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Washington County,Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,TOTALS
Capacity,3590,"3,858",58,,"3,082","1,781","1,348",0,0,96,102,102,0,0,82,20,102,92,93,93,182,28,50,82,20,102,102,0,"4,494",300,369,280,310,280,280,274,280,355,280,280,326,300,280,300,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,"24,199"
1-Jan-17,3381,"3,389",27,3,"3,064","1,173",970,0,0,66,78,58,0,0,61,10,75,86,83,54,167,4,23,55,11,77,62,0,"3,868",238,293,227,259,242,224,274,279,350,200,263,313,218,237,251,"3,078",0,"1,179",996,0,903,9,4,4,1,"18,962"
2-Jan-17,3373,"3,391",27,3,"3,063","1,173",969,0,0,66,78,58,0,0,61,10,75,86,83,54,167,4,23,54,11,77,62,0,"3,865",238,293,227,259,242,223,274,278,350,200,262,313,218,237,251,"3,077",0,"1,179",995,0,903,9,4,4,1,"18,950"
3-Jan-17,3362,"3,443",27,3,"3,051","1,146",945,0,0,63,75,58,0,0,59,10,73,85,81,52,166,4,22,48,11,77,61,0,"3,844",238,293,227,254,242,221,271,277,346,197,262,313,218,236,249,"3,069",0,"1,177",993,0,899,8,3,4,1,"18,898"
4-Jan-17,3368,"3,473",26,2,"3,063","1,089",938,0,0,62,74,58,0,0,59,8,73,85,80,53,167,4,21,48,11,74,61,0,"3,852",240,292,227,249,241,223,274,277,352,200,262,313,217,236,249,"3,080",0,"1,181","1,000",0,899,10,3,6,1,"18,901"
5-Jan-17,3365,"3,491",26,2,"3,059","1,064",952,0,0,65,74,58,0,0,57,8,82,84,80,53,165,3,20,49,20,74,60,0,"3,835",240,294,225,248,239,221,273,276,349,199,262,313,214,235,247,"3,084",0,"1,183","1,000",0,901,13,3,6,4,"18,891"
6-Jan-17,3363,"3,477",26,3,"3,060","1,062",972,0,0,65,75,58,0,0,60,8,86,84,80,53,165,3,22,59,20,74,60,0,"3,830",240,294,224,248,237,224,272,275,352,198,261,312,214,235,244,"3,085",0,"1,184","1,000",0,901,13,3,6,4,"18,891"
7-Jan-17,3362,"3,476",26,3,"3,060","1,062",969,0,0,65,75,58,0,0,58,8,86,84,80,53,165,3,22,58,20,74,60,0,"3,830",240,294,224,248,237,224,272,275,352,198,261,312,215,234,244,"3,085",0,"1,184","1,000",0,901,13,3,6,4,"18,886"
8-Jan-17,3360,"3,479",26,3,"3,060","1,062",966,0,0,65,75,58,0,0,58,8,86,82,80,53,165,3,21,58,20,74,60,0,"3,826",240,294,224,248,237,224,272,275,351,198,260,311,214,234,244,"3,084",0,"1,183","1,000",0,901,13,3,6,4,"18,879"
9-Jan-17,3366,"3,476",26,5,"3,048","1,085",959,0,0,65,73,57,0,0,57,7,86,81,80,53,164,3,21,58,20,74,60,0,"3,812",240,293,222,247,235,223,272,273,351,198,259,309,214,233,243,"3,082",0,"1,181","1,000",0,901,13,3,6,4,"18,872"
10-Jan-17,3358,"3,469",26,5,"3,050","1,101",953,0,0,70,72,55,0,0,54,7,86,81,81,53,163,3,19,57,19,73,60,0,"3,806",240,293,222,247,235,223,272,269,350,198,259,309,214,233,242,"3,081",0,"1,181","1,000",0,900,13,3,6,4,"18,862"
11-Jan-17,3358,"3,469",26,5,"3,049","1,140",953,0,0,70,72,55,0,0,55,7,85,81,82,53,163,3,19,57,19,73,59,0,"3,806",240,293,222,247,235,223,272,269,350,198,259,309,214,233,242,"3,080",0,"1,181","1,000",0,899,13,3,6,4,"18,899"
12-Jan-17,3353,"3,453",26,5,"3,040","1,155",941,0,0,70,71,55,0,0,55,6,81,80,81,53,162,3,18,55,19,73,59,0,"3,792",240,291,221,247,233,223,272,267,350,196,259,308,214,231,240,"3,070",0,"1,177",998,0,895,14,4,6,4,"18,849"
13-Jan-17,"3,337","3,421",26,2,"3,039","1,175",940,0,0,64,65,51,0,0,69,6,78,81,80,53,153,3,21,67,17,73,59,0,"3,782",240,290,221,247,232,222,271,267,347,196,259,308,213,230,239,"3,070",0,"1,177",998,0,895,10,3,3,4,"18,802"
14-Jan-17,3336,"3,418",26,2,"3,038","1,175",938,0,0,64,65,51,0,0,68,6,78,80,80,53,153,3,21,67,17,73,59,0,"3,777",239,289,221,247,232,221,271,267,345,196,259,308,213,230,239,"3,068",0,"1,177",998,0,893,10,3,3,4,"18,788"
15-Jan-17,3336,"3,421",26,2,"3,038","1,175",937,0,0,64,65,51,0,0,68,6,78,80,80,53,153,3,21,66,17,73,59,0,"3,771",239,289,221,246,232,221,267,266,345,196,259,308,213,230,239,"3,067",0,"1,176",998,0,893,10,3,3,4,"18,783"
16-Jan-17,3336,"3,422",26,2,"3,034","1,177",960,0,0,70,72,54,0,0,67,6,78,82,79,53,161,3,21,63,19,73,59,0,"3,775",239,289,221,246,232,221,271,267,345,196,259,308,213,230,238,"3,067",0,"1,176",998,0,893,14,4,6,4,"18,813"
17-Jan-17,3335,"3,423",26,4,"3,021","1,206",953,0,0,70,72,54,0,0,67,6,78,82,79,51,161,3,20,59,19,73,59,0,"3,767",239,288,221,246,231,220,270,267,343,196,258,307,213,230,238,"3,065",0,"1,174",998,0,893,14,4,6,4,"18,814"
18-Jan-17,3313,"3,395",26,4,"3,045","1,219",951,0,0,71,72,55,0,0,68,6,78,82,79,49,161,3,20,57,19,72,59,0,"3,786",239,294,224,248,221,223,274,277,343,198,257,307,213,230,238,"3,062",0,"1,173",996,0,893,14,4,6,4,"18,815"
