11-May-17,Mississippi State Penitentiary,Central Mississippi Correctional Facility,Youthful Offender Unit,CMCF TVC,South Mississippi Correctional Institution,County Jails,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore TVC,Leflore TVC Support,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Rankin RID,Flowood TVC,Simpson TVC,Simpson TVC Support,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Washington County,Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,TRANSITIONAL HOUSING,Madison,Noxubee,Rankin/Flowood,Washington,Wilkinson,TOTALS
Capacity,3590,"3,710",58,,"3,082","1,781","1,348",0,0,96,102,102,0,0,82,20,102,92,93,93,182,28,50,82,20,102,102,0,"4,494",300,369,280,310,280,280,274,280,355,280,280,326,300,280,300,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,164,40,34,8,42,40,"24,051"
11-May-17,3358,"3,381",30,12,"3,042","1,322",965,0,0,84,83,79,0,0,72,13,62,51,86,64,147,8,22,73,16,54,51,0,"3,800",240,292,263,287,222,224,270,274,349,194,223,261,240,223,238,"3,073",0,"1,189",999,0,885,12,5,4,3,71,16,28,5,20,2,"19,066"
12-May-17,3362,"3,332",30,16,"3,047","1,332",992,0,0,82,83,79,0,0,76,13,62,54,85,64,155,8,22,78,16,64,51,0,"3,814",240,293,262,287,224,221,275,275,352,199,223,261,240,223,239,"3,069",0,"1,188",999,0,882,12,5,4,3,71,16,28,5,20,2,"19,077"
13-May-17,"3,361","3,329",30,16,"3,046","1,332",989,0,0,82,83,79,0,0,76,13,62,54,85,64,155,8,21,76,16,64,51,0,"3,812",240,293,262,287,224,221,273,275,352,199,223,261,240,223,239,"3,069",0,"1,188",999,0,882,12,5,4,3,73,16,30,5,20,2,"19,069"
14-May-17,3360,"3,329",30,16,"3,046","1,332",985,0,0,82,83,79,0,0,73,13,62,54,85,64,155,8,21,75,16,64,51,0,"3,811",240,293,262,287,224,221,273,274,352,199,223,261,240,223,239,"3,070",0,"1,189",999,0,882,12,5,4,3,73,16,30,5,20,2,"19,064"
15-May-17,3339,"3,293",30,16,"3,025","1,342",977,0,0,82,84,77,0,0,72,12,62,54,84,63,154,8,21,73,16,61,54,0,"3,811",240,291,264,288,224,220,273,277,350,200,223,260,237,223,241,"3,066",0,"1,186","1,000",0,880,11,5,3,3,72,16,30,5,19,2,"18,982"
16-May-17,3344,"3,279",30,16,"3,037","1,353",989,0,0,82,84,77,0,0,70,12,62,54,84,68,166,8,20,71,16,61,54,0,"3,807",239,292,264,288,224,219,273,276,350,200,223,259,236,223,241,"3,063",0,"1,186",999,0,878,11,5,3,3,72,16,30,5,19,2,"19,001"
17-May-17,3352,"3,269",30,15,"3,030","1,365",988,0,0,82,84,77,0,0,70,12,61,54,83,69,166,8,20,71,16,61,54,0,"3,800",238,290,264,288,223,218,273,276,352,199,223,261,236,221,238,"3,055",0,"1,180",999,0,876,11,5,3,3,61,16,28,3,12,2,"18,976"
18-May-17,3340,"3,290",30,16,"3,029","1,334",980,0,0,86,83,77,0,0,70,12,60,54,80,71,166,8,20,72,16,53,52,0,"3,795",240,294,262,287,223,217,274,275,349,198,223,261,231,223,238,"3,057",0,"1,185",997,0,875,11,5,3,3,61,16,28,3,12,2,"18,943"
19-May-17,3331,"3,284",29,15,"3,012","1,326",977,0,0,72,99,64,0,0,79,12,60,52,78,70,158,8,21,78,14,57,55,0,"3,790",240,294,264,288,222,217,274,274,347,197,222,261,231,220,239,"3,057",0,"1,183","1,000",0,874,10,4,3,3,62,15,30,3,12,2,"18,893"
20-May-17,3229,"3,283",29,15,"3,012","1,326",976,0,0,71,99,64,0,0,79,12,60,52,78,70,158,8,21,78,14,57,55,0,"3,790",240,294,264,288,222,217,274,274,347,197,222,261,231,220,239,"3,056",0,"1,182","1,000",0,874,10,4,3,3,62,15,30,3,12,2,"18,788"
21-May-17,3327,"3,281",29,15,"3,012","1,326",975,0,0,71,98,64,0,0,79,12,60,52,78,70,158,8,21,78,14,57,55,0,"3,785",240,294,264,288,222,217,272,273,347,196,222,260,231,220,239,"3,058",0,"1,184","1,000",0,874,10,4,3,3,62,15,30,3,12,2,"18,880"
