date_raw,Mississippi State Penitentiary,Central Mississippi Correctional Facility,Youthful Offender Unit,CMCF TVC,South Mississippi Correctional Institution,COUNTY JAILS,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore TVC,Leflore TVC Support,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Rankin RID,Flowood TVC,Simpson TVC,Simpson TVC Support,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Washington County,Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,TRANSITIONAL HOUSING,Madison,Noxubee,Rankin/Flowood,Washington,Wilkinson,TOTALS
Capacity,3590,"3,710",58,,"3,082","1,781","1,348",0,0,96,102,102,0,0,82,20,102,92,93,93,182,28,50,82,20,102,102,0,"4,494",300,369,280,310,280,280,274,280,355,280,280,326,300,280,300,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,164,40,34,8,42,40,"24,215"
1-Jun-17,3312,"3,337",31,8,"2,988","1,334",948,0,0,69,90,71,0,0,66,11,61,53,79,64,157,8,26,67,13,56,57,0,"3,775",239,289,256,286,223,219,273,278,348,200,223,258,230,222,231,"3,045",0,"1,186",992,0,867,12,5,4,3,53,12,23,4,12,2,"18,843"
2-Jun-17,3326,"3,271",31,9,"2,988","1,369",952,0,0,69,87,69,0,0,78,9,61,51,79,64,151,8,26,79,13,55,53,0,"3,790",239,289,255,286,222,224,273,277,352,200,224,262,230,223,234,"3,050",0,"1,182",997,0,871,12,5,4,3,59,14,26,4,12,3,"18,857"
3-Jun-17,3324,"3,271",31,9,"2,988","1,369",948,0,0,69,87,69,0,0,76,9,61,51,79,64,151,8,25,78,13,55,53,0,"3,788",239,289,255,286,222,224,273,277,352,200,222,262,230,223,234,"3,050",0,"1,182",997,0,871,12,5,4,3,59,14,26,4,12,3,"18,849"
4-Jun-17,3324,"3,270",31,10,"2,987","1,369",948,0,0,69,87,69,0,0,76,9,61,51,79,64,151,8,25,78,13,55,53,0,"3,787",239,289,255,286,221,224,273,277,352,200,222,262,230,223,234,"3,050",0,"1,182",997,0,871,12,5,4,3,59,14,26,4,12,3,"18,847"
5-Jun-17,3304,"3,301",31,10,"2,994","1,385",943,0,0,67,86,67,0,0,74,11,60,53,77,65,155,8,21,76,13,54,56,0,"3,791",238,294,255,286,220,223,273,279,352,200,224,262,230,221,234,"3,047",0,"1,180",997,0,870,12,5,4,3,55,14,22,4,12,3,"18,873"
6-Jun-17,3316,"3,306",32,10,"2,992","1,388",936,0,0,67,85,67,0,0,70,12,59,53,76,65,155,8,20,76,13,54,56,0,"3,791",238,292,255,285,223,221,274,274,352,199,223,262,230,223,240,"3,045",0,"1,179",998,0,868,12,5,4,3,52,14,21,4,10,3,"18,880"
7-Jun-17,3315,"3,318",32,9,"3,002","1,401",932,0,0,67,84,67,0,0,65,13,62,53,76,65,155,8,19,75,13,54,56,0,"3,790",240,292,255,283,226,221,274,275,350,196,223,262,229,223,241,"3,049",0,"1,178",998,0,873,12,5,4,3,52,14,21,4,10,3,"18,912"
8-Jun-17,3309,"3,315",32,11,"3,010","1,394",949,0,0,67,86,65,0,0,63,13,62,53,77,62,171,9,20,73,13,60,55,0,"3,788",240,292,253,286,224,224,274,274,348,196,224,262,227,223,241,"3,047",0,"1,174","1,000",0,873,12,5,4,3,47,8,23,4,10,2,"18,914"
9-Jun-17,3299,"3,316",32,7,"3,002","1,388",955,0,0,66,82,63,0,0,73,13,62,51,77,59,170,9,26,78,12,59,55,0,"3,799",240,294,253,286,225,224,274,279,352,198,224,262,226,223,239,"3,043",0,"1,174",999,0,870,11,5,3,3,47,8,22,5,10,2,"18,899"
10-Jun-17,3296,"3,315",32,7,"2,998","1,388",953,0,0,66,82,63,0,0,72,13,62,51,77,59,170,9,26,77,12,59,55,0,"3,798",240,294,252,286,225,224,274,279,352,198,224,262,226,223,239,"3,039",0,"1,175",995,0,869,11,5,3,3,47,8,22,5,10,2,"18,884"
