Location,Mississippi State Penitentiary,Central Mississippi Correctional Facility,Youthful Offender Unit,CMCF TVC,South Mississippi Correctional Institution,County Jails,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore TVC,Leflore TVC Support,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Rankin RID,Flowood TVC,Simpson TVC,Simpson TVC Support,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Washington County,Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,TRANSITIONAL HOUSING,Madison,Noxubee,Rankin/Flowood,Washington,Wilkinson,TOTALS
Capacity 1-Feb-18,"3,590","3,830",58,0,"3,082","1,781","1,188",0,0,96,102,102,0,0,82,20,62,58,93,93,178,28,50,82,20,60,62,0,"4,556",300,369,280,310,342,280,274,280,355,280,280,326,300,280,300,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,164,40,34,8,42,40,"24,237"
,"3,368","3,354",26,21,"2,658","1,181",763,0,0,60,64,52,0,0,20,20,60,54,79,44,139,19,12,29,10,57,44,0,"4,372",293,293,278,306,339,280,273,278,353,277,280,326,216,280,300,"3,202",0,"1,280",999,0,923,10,4,4,2,36,4,21,6,0,5,"18,991"
2-Feb-18,"3,360","3,337",26,21,"2,648","1,170",777,0,0,57,65,51,0,0,20,20,60,54,78,43,133,22,15,49,10,57,43,0,"4,365",293,293,278,306,339,278,270,277,353,278,280,326,215,279,300,"3,204",0,"1,286",996,0,922,9,4,4,1,36,4,21,6,0,5,"18,953"
3-Feb-18,"3,358","3,334",26,21,"2,647","1,170",776,0,0,57,65,51,0,0,20,20,60,54,78,43,133,22,15,49,10,57,42,0,"4,364",293,293,278,306,339,278,270,277,353,278,280,326,215,278,300,"3,203",0,"1,285",996,0,922,9,4,4,1,36,4,21,6,0,5,"18,944"
4-Feb-18,"3,358","3,337",26,21,"2,647","1,170",775,0,0,57,65,51,0,0,19,20,60,54,78,43,133,22,15,49,10,57,42,0,"4,363",293,293,278,306,339,278,270,277,353,278,279,326,215,278,300,"3,203",0,"1,285",996,0,922,9,4,4,1,36,4,21,6,0,5,"18,945"
5-Feb-18,"3,371","3,328",26,21,"2,657","1,168",785,0,0,59,64,51,0,0,19,20,61,54,78,42,138,22,14,49,10,58,46,0,"4,347",294,293,276,306,337,278,269,276,351,276,279,326,215,272,299,"3,201",0,"1,285",995,0,921,10,4,4,2,37,4,21,6,0,6,"18,951"
6-Feb-18,"3,372","3,329",26,21,"2,655","1,168",773,0,0,59,65,49,0,0,16,20,61,54,78,42,138,22,13,42,10,58,46,0,"4,369",294,293,276,306,342,280,273,280,349,279,280,325,214,280,298,"3,195",0,"1,284",992,0,919,10,4,4,2,39,4,21,8,0,6,"18,957"
7-Feb-18,"3,379","3,317",26,21,"2,663","1,178",770,0,0,58,65,49,0,0,16,20,62,54,78,42,137,22,13,41,10,58,45,0,"4,345",292,290,276,305,340,280,272,280,348,277,278,322,214,275,296,"3,196",0,"1,280",998,0,918,10,4,4,2,39,4,21,8,0,6,"18,944"
8-Feb-18,"3,377","3,315",26,21,"2,664","1,194",772,0,0,58,65,49,0,0,16,20,62,54,78,42,140,22,13,41,10,58,44,0,"4,351",289,290,276,305,337,280,272,280,350,277,278,325,214,279,299,"3,196",0,"1,281",998,0,917,10,4,4,2,44,4,26,8,0,6,"18,970"
9-Feb-18,"3,370","3,321",26,0,"2,668","1,230",778,0,0,62,64,48,0,0,16,19,62,54,80,41,142,22,12,41,10,57,48,0,"4,333",288,288,276,304,338,280,270,279,344,273,278,325,214,278,298,"3,193",0,"1,281",997,0,915,11,5,4,2,43,4,26,8,0,5,"18,973"
10-Feb-18,"3,370","3,321",26,0,"2,665","1,230",777,0,0,62,64,48,0,0,16,19,62,53,80,41,142,22,12,41,10,57,48,0,"4,331",288,288,276,304,338,280,270,278,344,273,278,324,214,278,298,"3,204",0,"1,281",997,0,926,11,5,4,2,43,4,26,8,0,5,"18,978"
