Location,Mississippi State Penitentiary,Central Mississippi Correctional Facility,Youthful Offender Unit,CMCF TVC,South Mississippi Correctional Institution,County Jails,COMMUNITY WORK CENTERS,Alcorn Satellite Facility (closed),Bolivar Satellite Facility (closed),Delta Satellite Facility,Delta TVC,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility (closed),Jefferson Satellite Facility (closed),Leflore TVC (closed),Leflore TVC Support (closed),Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Rankin RID,Flowood TVC,Simpson TVC (closed),Simpson TVC Support (closed),Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility (closed),REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Washington County,Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood (closed),Hinds,Pascagoula,TRANSITIONAL HOUSING,Madison,Noxubee,Rankin/Flowood,Washington (closed),Wilkinson (closed),TOTALS
Capacity,"3,590","3,920",58,0,"3,082","1,781","1,488",0,0,0,300,96,102,102,0,0,82,20,62,58,93,93,178,28,50,82,20,60,62,0,"4,556",300,369,280,310,342,280,274,280,355,280,280,326,300,280,300,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,164,40,34,8,42,40,"24,627"
1-Apr-18,"3,381","3,575",31,0,"2,652","1,274",746,0,0,0,0,61,67,56,0,0,35,19,60,50,80,45,142,28,14,0,0,43,46,0,"4,283",292,290,269,302,330,276,265,277,335,271,279,323,205,271,298,"3,148",0,"1,251",999,0,898,11,6,4,1,78,40,27,11,0,0,"19,179"
2-Apr-18,"3,392","3,599",31,0,"2,659","1,265",746,0,0,53,0,61,68,56,0,0,0,0,59,50,80,45,142,28,14,0,0,43,47,0,"4,268",292,287,269,302,329,276,264,275,335,270,279,322,205,271,292,"3,147",0,"1,250",999,0,898,11,6,4,1,81,41,29,11,0,0,"19,199"
3-Apr-18,"3,389","3,648",31,0,"2,660","1,257",775,0,0,66,19,61,67,56,0,0,0,0,59,50,80,45,142,27,14,0,0,43,46,0,"4,230",291,285,268,301,317,270,263,275,333,269,277,320,202,268,291,"3,146",0,"1,249",999,0,898,11,6,4,1,44,4,29,11,0,0,"19,191"
4-Apr-18,"3,404","3,623",32,0,"2,664","1,266",789,0,0,19,84,59,67,55,0,0,0,0,59,50,80,46,142,26,13,0,0,43,46,0,"4,207",291,285,268,295,315,266,263,274,327,273,277,319,200,264,290,"3,166",0,"1,246",998,0,922,12,6,4,2,46,4,29,13,0,0,"19,209"
5-Apr-18,"3,402","3,369",32,0,"2,657","1,229",808,0,0,68,82,59,68,56,0,0,0,0,59,50,80,46,141,26,27,0,0,0,46,0,"4,190",290,280,265,295,315,268,262,274,327,273,276,319,195,262,289,"3,168",0,"1,246","1,000",0,922,6,0,4,2,46,4,29,13,0,0,"18,907"
6-Apr-18,"3,403","3,674",32,0,"2,661","1,211",808,0,0,68,84,59,67,54,0,0,0,0,58,50,80,44,140,26,27,0,0,0,51,0,"4,175",289,278,265,294,312,266,262,274,326,272,276,317,194,261,289,"3,163",0,"1,244",999,0,920,6,0,4,2,46,4,29,13,0,0,"19,179"
7-Apr-18,"3,403","3,673",32,0,"2,661","1,211",809,0,0,68,84,59,67,55,0,0,0,0,58,50,80,44,140,26,27,0,0,0,51,0,"4,172",289,277,264,294,312,266,262,274,326,271,276,317,194,261,289,"3,162",0,"1,244",998,0,920,6,0,4,2,46,4,29,13,0,0,"19,175"
8-Apr-18,"3,402","3,671",32,0,"2,660","1,211",807,0,0,68,84,59,67,54,0,0,0,0,58,50,80,44,140,26,27,0,0,0,50,0,"4,169",289,277,264,294,312,266,262,274,325,269,276,317,194,261,289,"3,160",0,"1,244",997,0,919,6,0,4,2,46,4,29,13,0,0,"19,164"
9-Apr-18,"3,387","3,714",32,0,"2,660","1,217",810,0,0,68,84,59,68,56,0,0,0,0,59,49,80,45,141,26,27,0,0,0,48,0,"4,167",287,287,263,294,314,266,262,273,323,268,276,316,194,261,283,"3,155",0,"1,240",997,0,918,6,0,4,2,46,4,29,13,0,0,"19,194"
