date_raw,Mississippi State Penitentiary,Central Mississippi Correctional Facility,Youthful Offender Unit,CMCF TVC,South Mississippi Correctional Institution,COUNTY JAILS,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Delta Satellite Facility,Delta TVC,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore TVC,Leflore TVC Support,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Rankin RID,Flowood TVC,Simpson TVC,Simpson TVC Support,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Washington County,Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,TRANSITIONAL HOUSING,Madison,Noxubee,Rankin/Flowood,Washington,Wilkinson,TOTALS
Capacity,"3,560","4,131",58,0,"3,082","1,793","1,372",0,0,124,324,96,102,102,0,0,0,0,62,58,93,93,178,28,50,0,0,0,62,0,"4,579",300,369,280,310,342,280,297,280,355,280,280,326,300,280,300,"5,472",472,"1,500","1,000","1,500","1,000",10,0,6,4,122,40,34,8,42,40,"24,179"
18-Apr-19,"3,269","3,725",32,0,"2,663","1,410","1,069",0,0,86,291,66,47,51,0,0,0,0,69,46,80,62,163,11,39,0,0,0,58,0,"4,298",298,293,274,309,339,281,298,280,351,281,280,280,157,279,298,"3,193",0,"1,269",999,0,925,8,0,5,3,34,9,21,4,0,0,"19,701"
19-Apr-19,"3,269","3,754",32,0,"2,662","1,396","1,057",0,0,86,288,61,47,49,0,0,0,0,75,46,79,62,159,11,39,0,0,0,55,0,"4,290",298,292,274,310,339,281,298,279,350,280,279,280,155,278,297,"3,190",0,"1,266",999,0,925,8,0,5,3,24,8,12,4,0,0,"19,682"
20-Apr-19,"3,268","3,754",31,0,"2,662","1,396","1,052",0,0,86,284,61,47,49,0,0,0,0,75,46,79,62,159,11,38,0,0,0,55,0,"4,288",298,292,274,310,338,281,298,279,350,280,279,280,155,277,297,"3,189",0,"1,266",999,0,924,8,0,5,3,24,8,12,4,0,0,"19,672"
21-Apr-19,"3,268","3,757",31,0,"2,660","1,396","1,047",0,0,86,279,61,47,49,0,0,0,0,75,46,79,62,159,11,38,0,0,0,55,0,"4,287",297,292,274,310,338,281,298,279,350,280,279,280,155,277,297,"3,189",0,"1,266",999,0,924,8,0,5,3,24,8,12,4,0,0,"19,667"
22-Apr-19,"3,261","3,782",32,0,"2,660","1,378","1,063",0,0,86,291,60,46,50,0,0,0,0,75,46,79,62,163,11,38,0,0,0,56,0,"4,275",296,290,274,309,338,281,298,278,349,279,278,280,154,276,295,"3,188",0,"1,265",999,0,924,7,0,4,3,27,11,12,4,0,0,"19,673"
23-Apr-19,"3,248","3,796",32,0,"2,657","1,349","1,061",0,0,88,290,60,45,50,0,0,0,0,75,46,79,61,162,11,38,0,0,0,56,0,"4,282",295,292,273,309,337,281,297,276,353,279,277,280,154,280,299,"3,198",0,"1,278",995,0,925,7,0,4,3,23,7,12,4,0,0,"19,653"
24-Apr-19,"3,251","3,796",30,0,"2,667","1,350","1,074",0,0,88,306,59,46,48,0,0,0,0,75,46,79,61,162,11,38,0,0,0,55,0,"4,283",300,290,273,309,336,280,297,276,353,280,277,280,153,280,299,"3,208",0,"1,284",999,0,925,7,0,4,3,,7,17,4,0,0,"19,666"
25-Apr-19,"3,248","3,805",30,0,"2,651","1,372","1,070",0,0,87,304,59,46,47,0,0,0,0,75,46,79,61,162,11,38,0,0,0,55,0,"4,278",300,290,272,308,337,279,296,276,353,280,278,280,153,278,298,"3,207",0,"1,284",999,0,924,7,0,4,3,29,8,17,4,0,0,"19,697"
26-Apr-19,"3,254","3,785",30,0,"2,653","1,406","1,068",0,0,85,303,59,47,47,0,0,0,0,75,46,80,59,162,11,38,0,0,0,56,0,"4,277",299,290,279,309,335,278,296,276,353,278,277,280,152,278,297,"3,204",0,"1,283",999,0,922,6,0,3,3,25,4,17,4,0,0,"19,708"
