Location,Mississippi State Penitentiary,Central Mississippi Correctional Facility,Youthful Offender Unit,CMCF TVC,South Mississippi Correctional Institution,County Jails,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Delta Satellite Facility,Delta TVC,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore TVC,Leflore TVC Support,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Rankin RID,Flowood TVC,Simpson TVC,Simpson TVC Support,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Washington County,Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,TRANSITIONAL HOUSING,Madison,Noxubee,Rankin/Flowood,Washington,Wilkinson,TOTALS
Capacity,"3,560","4,094",58,0,"3,082","1,793","1,372",0,0,124,324,96,102,102,0,0,0,0,62,58,93,93,178,28,50,0,0,0,62,0,"4,579",300,369,280,310,342,280,297,280,355,280,280,326,300,280,300,"5,472",472,"1,500","1,000","1,500","1,000",10,0,6,4,122,40,34,8,42,40,"24,142"
18-Oct-19,"3,256","3,628",24,0,"2,655","1,303",931,0,0,80,232,62,0,42,0,0,0,0,81,54,75,69,135,14,27,0,0,0,60,0,"4,320",296,292,274,310,332,280,327,279,350,281,279,280,162,279,299,"3,189",0,"1,262",992,0,935,7,0,4,3,36,12,22,2,0,0,"19,349"
19-Oct-19,"3,256","3,628",24,0,"2,656","1,303",930,0,0,80,231,62,0,42,0,0,0,0,81,54,75,69,135,14,27,0,0,0,60,0,"4,317",296,292,274,310,332,280,327,278,350,280,279,279,162,279,299,"3,188",0,"1,261",992,0,935,7,0,4,3,36,12,22,2,0,0,"19,345"
20-Oct-19,"3,256","3,626",24,0,"2,655","1,303",927,0,0,80,229,62,0,42,0,0,0,0,80,54,75,69,135,14,27,0,0,0,60,0,"4,317",296,292,274,310,332,280,327,278,350,280,279,279,162,279,299,"3,188",0,"1,261",992,0,935,7,0,4,3,36,12,22,2,0,0,"19,339"
21-Oct-19,"3,250","3,624",24,0,"2,657","1,328",939,0,0,80,231,71,0,44,0,0,0,0,75,54,75,68,140,14,27,0,0,0,60,0,"4,302",298,292,273,310,327,279,325,276,347,279,278,279,162,278,299,"3,191",0,"1,260",996,0,935,7,0,4,3,37,12,22,2,0,1,"19,359"
22-Oct-19,"3,254","3,636",24,0,"2,653","1,299",936,0,0,81,227,69,0,44,0,0,0,0,74,53,80,69,139,14,27,0,0,0,59,0,"4,321",297,292,273,310,336,279,325,279,351,279,279,280,162,279,300,"3,190",0,"1,261",995,0,934,7,0,4,3,37,12,22,2,0,1,"19,357"
23-Oct-19,"3,251","3,643",24,0,"2,656","1,282",935,0,0,80,219,66,0,44,0,0,0,0,74,53,80,72,145,16,27,0,0,0,59,0,"4,314",297,292,273,309,334,279,324,279,349,278,280,280,162,279,299,"3,190",0,"1,259",994,0,937,7,0,4,3,37,12,22,2,0,1,"19,339"
24-Oct-19,"3,250","3,658",25,0,"2,654","1,293",925,0,0,79,216,66,0,44,0,0,0,0,74,53,78,72,142,16,27,0,0,0,58,0,"4,316",296,292,276,309,334,279,324,278,350,278,279,280,162,279,300,"3,183",0,"1,252",993,0,938,7,0,4,3,,13,21,2,0,0,"19,311"
25-Oct-19,"3,249","3,656",26,0,"2,653","1,307",918,0,0,77,216,65,0,43,0,0,0,0,73,52,78,71,142,16,27,0,0,0,58,0,"4,333",298,294,276,309,341,280,324,280,352,280,279,280,162,278,300,"3,181",0,"1,253",990,0,938,7,0,4,3,36,13,21,2,0,0,"19,366"
26-Oct-19,"3,248","3,653",26,0,"2,653","1,307",916,0,0,77,215,65,0,42,0,0,0,0,73,52,78,71,142,16,27,0,0,0,58,0,"4,332",298,294,276,309,340,280,324,280,352,280,279,280,162,278,300,"3,181",0,"1,253",990,0,938,7,0,4,3,36,13,21,2,0,0,"19,359"
27-Oct-19,"3,248","3,652",26,0,"2,652","1,307",914,0,0,77,213,65,0,42,0,0,0,0,73,52,78,71,142,16,27,0,0,0,58,0,"4,329",297,294,276,309,340,280,324,280,352,280,279,280,161,278,299,"3,181",0,"1,253",990,0,938,7,0,4,3,36,13,21,2,0,0,"19,352"
