Location,Mississippi State Penitentiary,Central Mississippi Correctional Facility,Youthful Offender Unit,CMCF TVC,South Mississippi Correctional Institution,County Jails,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Delta Satellite Facility,Delta TVC,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Rankin SF (RRP),Flowood TVC,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Washington County,Winston County,Yazoo County,PRIVATE PRISONS,Tallahatchie County,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,TRANSITIONAL HOUSING,Madison,Noxubee,Rankin/Flowood,Washington,Wilkinson,TOTALS
Capacity,"3,560","4,094",58,0,"3,082","1,793","1,372",0,0,124,324,96,102,102,0,0,62,58,93,93,178,28,50,0,62,0,"4,579",300,369,280,310,342,280,297,280,355,280,280,326,300,280,300,"6,000","1,000","1,500","1,000","1,500","1,000",10,0,6,4,122,40,34,8,42,40,"24,670"
1-Feb-20,"2,738","3,536",21,0,"2,634","1,428",812,0,0,73,153,51,0,35,0,0,71,41,75,67,151,18,20,0,57,0,"4,363",300,291,268,310,338,279,276,281,353,280,396,281,133,278,299,"3,461",375,"1,223",999,0,864,5,0,3,2,33,5,27,1,0,0,"19,031"
2-Feb-20,"2,737","3,537",21,0,"2,634","1,428",812,0,0,73,153,51,0,35,0,0,71,41,75,67,151,18,20,0,57,0,"4,362",300,291,268,309,338,279,276,281,353,280,396,281,133,278,299,"3,460",375,"1,223",998,0,864,5,0,3,2,33,5,27,1,0,0,"19,029"
3-Feb-20,"2,740","3,538",20,0,"2,652","1,400",813,0,0,66,148,52,0,38,0,0,69,41,82,72,150,18,20,0,57,0,"4,357",299,291,268,309,338,279,275,280,352,280,395,280,133,278,300,"3,457",375,"1,220",998,0,864,5,0,3,2,33,5,27,1,0,0,"19,015"
4-Feb-20,"2,721","3,564",19,0,"2,657","1,375",808,0,0,66,146,51,0,38,0,0,69,41,82,71,150,18,19,0,57,0,"4,374",299,292,272,309,338,280,287,280,352,280,395,280,132,279,299,"3,458",375,"1,221",998,0,864,5,0,3,2,33,5,27,1,0,0,"19,014"
5-Feb-20,"2,717","3,589",20,0,"2,657","1,376",806,0,0,66,141,51,0,37,0,0,68,41,81,79,150,18,17,0,57,0,"4,362",299,291,272,308,336,280,286,276,350,279,396,280,132,279,298,"3,455",375,"1,221",997,0,862,5,0,3,2,33,4,27,1,0,1,"19,020"
6-Feb-20,"2,713","3,613",20,0,"2,651","1,359",802,0,0,66,140,51,0,37,0,0,69,41,80,74,149,18,16,0,61,0,"4,343",299,291,272,306,334,278,285,274,349,274,396,279,132,276,298,"3,453",375,"1,218",999,0,861,9,0,7,2,32,3,27,1,0,1,"18,995"
7-Feb-20,"2,715","3,635",21,0,"2,636","1,340",772,0,0,67,137,47,0,35,0,0,66,37,76,69,147,18,16,0,57,0,"4,359",298,293,272,306,338,276,308,273,348,273,395,280,132,270,297,"3,459",375,"1,216",999,0,869,9,0,7,2,32,3,27,1,0,1,"18,978"
8-Feb-20,"2,714","3,632",21,0,"2,634","1,340",764,0,0,67,132,46,0,35,0,0,66,37,76,69,147,18,14,0,57,0,"4,358",298,293,272,305,338,276,308,273,348,273,395,280,132,270,297,"3,459",375,"1,216",999,0,869,9,0,7,2,32,3,27,1,0,1,"18,963"
9-Feb-20,"2,713","3,633",21,0,"2,633","1,340",764,0,0,67,132,46,0,35,0,0,66,37,76,69,147,18,14,0,57,0,"4,358",298,293,272,305,338,276,308,273,348,273,395,280,132,270,297,"3,458",374,"1,216",999,0,869,9,0,7,2,32,3,27,1,0,1,"18,961"
10-Feb-20,"2,709","3,577",21,0,"2,641","1,377",777,0,0,67,133,48,0,36,0,0,62,42,77,77,146,18,14,0,57,0,"4,378",298,292,272,305,337,272,308,280,353,273,399,280,132,279,298,"3,455",374,"1,214",998,0,869,7,0,5,2,33,3,27,1,0,2,"18,975"
11-Feb-20,"2,677","3,578",21,0,"2,643","1,363",766,0,0,67,129,48,0,35,0,0,64,42,76,77,141,19,13,0,55,0,"4,379",297,292,272,309,340,271,307,279,352,272,401,280,131,279,297,"3,468",374,"1,227",998,0,869,7,0,5,2,33,4,26,1,0,2,"18,935"
12-Feb-20,"2,668","3,614",22,0,"2,647","1,318",764,0,0,67,128,49,0,36,0,0,64,42,76,77,141,19,10,0,55,0,"4,374",297,292,273,309,339,271,307,279,352,273,401,280,130,276,295,"3,467",374,"1,225",997,0,871,6,0,4,2,34,4,26,1,0,3,"18,914"
13-Feb-20,"2,642","3,639",24,0,"2,655","1,289",761,0,0,67,128,48,0,36,0,0,63,42,76,77,141,18,10,0,55,0,"4,377",297,292,272,310,339,269,306,279,351,273,400,280,139,276,294,"3,484",374,"1,244",996,0,870,6,0,4,2,34,4,26,1,0,3,"18,911"
