Location,Mississippi State Penitentiary,Central Mississippi Correctional Facility,Youthful Offender Unit,CMCF TVC,South Mississippi Correctional Institution,County Jails,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Delta Satellite Facility,Delta TVC,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore TVC,Leflore TVC Support,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Rankin SF (RRD),Flowood TVC,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Washington County,Winston County,Yazoo County,PRIVATE PRISONS,Tallahatchie County,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,TRANSITIONAL HOUSING,Madison,Noxubee,Rankin/Flowood,Washington,Wilkinson,TOTALS
Capacity,"3,560","4,094",58,0,"3,082","1,793","1,372",0,0,124,324,96,102,102,0,0,0,0,62,58,93,93,178,28,50,0,62,0,"4,579",300,369,280,310,342,280,297,280,355,280,280,326,300,280,300,"6,000","1,000","1,500","1,000","1,500","1,000",10,0,6,4,122,40,34,8,42,40,"24,670"
1-Mar-20,"2,200","3,669",24,0,"2,654","1,291",776,0,0,64,160,52,0,40,0,0,0,0,62,39,77,71,126,16,14,0,55,0,"4,337",290,284,268,308,338,274,319,280,336,269,400,280,141,268,282,"3,908",825,"1,223",992,0,868,5,0,3,2,22,4,15,2,0,1,"18,886"
2-Mar-20,"2,172","3,680",24,0,"2,655","1,291",805,0,0,64,172,58,0,39,0,0,0,0,63,39,77,71,138,16,14,0,54,0,"4,332",290,284,267,308,338,274,318,279,335,269,399,280,141,268,282,"3,930",848,"1,221",991,0,870,5,0,3,2,22,4,15,2,0,1,"18,916"
3-Mar-20,"2,170","3,682",24,0,"2,657","1,244",815,0,0,63,168,58,0,39,0,0,0,0,62,39,77,71,150,18,14,0,56,0,"4,344",289,291,266,309,341,273,317,278,342,269,399,280,141,266,283,"3,926",847,"1,218",990,0,871,5,0,3,2,46,4,36,4,0,2,"18,913"
4-Mar-20,"2,157","3,694",24,0,"2,653","1,240",810,0,0,62,173,58,0,38,0,0,0,0,61,39,77,66,148,18,14,0,56,0,"4,358",297,291,271,307,341,274,316,278,339,276,399,280,141,264,284,"3,925",847,"1,216",989,0,873,5,0,3,2,45,3,36,4,0,2,"18,911"
5-Mar-20,"2,147","3,708",24,0,"2,655","1,235",804,0,0,61,172,58,0,37,0,0,0,0,60,37,77,66,151,18,13,0,54,0,"4,360",299,291,271,307,341,274,316,278,339,276,399,280,141,264,284,"3,924",847,"1,216",989,0,872,5,0,3,2,34,3,24,4,0,3,"18,896"
6-Mar-20,"2,144","3,729",24,0,"2,652","1,251",792,0,0,59,168,56,0,36,0,0,0,0,60,42,77,67,148,18,12,0,49,0,"4,355",299,289,270,309,340,273,313,277,344,271,399,280,141,264,286,"3,926",850,"1,217",989,0,870,4,0,3,1,34,3,24,4,0,3,"18,911"
7-Mar-20,"2,144","3,732",24,0,"2,651","1,251",788,0,0,59,164,56,0,36,0,0,0,0,60,42,77,67,148,18,12,0,49,0,"4,355",299,289,270,309,340,273,313,277,344,271,399,280,141,264,286,"3,926",850,"1,217",989,0,870,4,0,3,1,34,3,24,4,0,3,"18,909"
8-Mar-20,"2,143","3,733",24,0,"2,652","1,251",788,0,0,59,164,56,0,36,0,0,0,0,60,42,77,67,148,18,12,0,49,0,"4,355",299,289,270,309,340,273,313,277,344,271,399,280,141,264,286,"3,925",850,"1,217",989,0,869,4,0,3,1,33,3,24,4,0,2,"18,908"
9-Mar-20,"2,157","3,705",24,0,"2,649","1,261",793,0,0,61,162,56,0,33,0,0,0,0,58,42,78,65,150,18,18,0,52,0,"4,359",299,287,269,308,340,274,313,276,344,267,399,279,141,268,295,"3,921",850,"1,214",989,0,868,5,0,3,2,33,4,24,4,0,1,"18,907"
