Location,MS STATE PENITENTIARY,CENTRAL MS CORRECTIONAL FACILITY,SOUTH MS CORRECTIONAL INSTITUTION,COUNTY JAILS,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Bolivar County,Carroll County,George County (opened on May 10th),Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Winston County,PRIVATE PRISONS,Delta (Closed),East MS,Marshall County,Walnut Grove,Wilkinson County,RESITITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION,TOTALS
Capacity,"5,711","3,233","2,214","2,133","1,350",75,75,75,75,75,75,75,75,75,75,75,75,150,75,75,75,75,"2,750",250,250,250,250,250,250,250,250,250,250,250,"3,750",0,"1,000","1,000",750,"1,000",24,6,12,6,6,"21,171"
1-Mar-03,"5,587","3,033","2,162","2,133","1,246",64,70,69,68,71,69,73,73,73,71,53,55,146,72,75,71,73,"2,480",225,225,225,226,226,223,222,227,227,227,227,"3,374",0,689,984,715,986,13,6,4,3,6,"20,034"
2-Mar-03,"5,587","3,035","2,163","2,133","1,246",64,70,69,68,71,69,73,73,73,71,53,55,146,72,75,71,73,"2,478",224,224,225,226,226,223,222,227,227,227,227,"3,372",0,689,983,715,985,13,6,4,3,6,"20,033"
3-Mar-03,"5,579","3,071","2,147","2,115","1,285",68,73,72,73,74,75,74,75,74,74,53,57,147,75,75,73,73,"2,475",223,224,225,225,225,224,225,227,225,226,226,"3,371",0,688,983,715,985,13,6,4,3,6,"20,062"
4-Mar-03,"5,598","3,089","2,160","2,089","1,285",67,73,73,74,74,75,73,74,75,74,55,57,147,75,74,72,73,"2,474",222,224,225,224,225,224,225,227,226,226,226,"3,370",0,688,982,715,985,13,6,4,3,6,"20,084"
5-Mar-03,"5,590","3,118","2,159","2,077","1,285",69,73,73,74,74,75,71,74,75,74,54,55,150,75,74,72,73,"2,475",226,226,225,223,223,224,224,226,226,226,226,"3,370",0,689,981,715,985,13,6,4,3,6,"20,093"
6-Mar-03,"5,603","3,125","2,151","2,077","1,283",69,73,74,73,74,75,71,74,75,75,54,55,148,74,74,71,74,"2,476",226,225,225,223,225,224,224,226,227,225,226,"3,368",0,689,980,713,986,13,6,4,3,6,"20,102"
7-Mar-03,"5,594","3,141","2,157","2,065","1,231",67,70,71,70,73,73,65,70,72,70,56,51,141,70,74,65,73,"2,483",226,227,225,226,225,225,226,226,227,224,226,"3,363",0,689,978,710,986,11,6,3,2,5,"20,050"
8-Mar-03,"5,592","3,140","2,158","2,065","1,231",67,70,71,70,73,73,65,70,72,70,56,51,141,70,74,65,73,"2,483",226,227,225,226,225,225,226,226,227,224,226,"3,363",0,689,978,710,986,11,6,3,2,5,"20,048"
9-Mar-03,"5,591","3,136","2,157","2,065","1,230",67,70,71,70,73,73,65,70,72,69,56,51,141,70,74,65,73,"2,482",226,226,225,226,225,225,226,226,227,224,226,"3,362",0,688,978,710,986,11,6,3,2,5,"20,039"
10-Mar-03,"5,599","3,134","2,154","2,103","1,280",68,72,74,74,74,75,74,73,75,74,55,55,147,73,74,69,74,"2,482",226,226,224,226,225,225,225,226,227,226,226,"3,362",0,688,978,710,986,14,6,5,3,6,"20,134"
11-Mar-03,"5,601","3,147","2,155","2,095","1,282",68,75,74,74,74,75,74,73,75,74,55,54,147,73,74,69,74,"2,485",226,226,226,226,225,225,225,227,227,226,226,"3,377",0,688,987,713,989,14,6,5,3,6,"20,162"
12-Mar-03,"5,595","3,159","2,177","2,093","1,294",74,74,74,74,74,75,74,73,75,74,56,56,148,75,73,70,75,"2,484",226,226,225,226,225,225,226,226,227,226,226,"3,369",0,688,979,713,989,14,6,5,3,6,"20,191"
13-Mar-03,"5,597","3,176","2,175","2,069","1,287",74,73,73,74,75,75,74,71,75,74,55,55,147,74,73,70,75,"2,482",225,226,225,226,225,226,226,226,227,225,225,"3,374",0,687,986,713,988,13,6,5,2,6,"20,179"
