Location,MS STATE PENITENTIARY,CENTRAL MS CORRECTIONAL FACILITY,SOUTH MS CORRECTIONAL INSTITUTION,COUNTY JAILS,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Bolivar County,Carroll County,George County (opened on May 10th),Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Winston County,PRIVATE PRISONS,East MS,Marshall County,Walnut Grove,Wilkinson County,RESITITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION,E-CODE,TOTALS
Capacity,"5,768","3,233","2,214","2,176","1,816",92,102,96,102,102,102,102,102,102,92,93,93,228,102,102,102,102,"2,750",250,250,250,250,250,250,250,250,250,250,250,"3,750","1,000","1,000",750,"1,000",24,6,12,6,6,,"21,737"
13-Feb-04,"5,666","3,118","2,060","2,066","1,527",82,88,89,69,85,76,77,95,99,85,55,77,193,97,92,67,101,"2,744",249,248,249,250,248,250,250,250,250,250,250,"3,428",730,987,720,991,12,6,4,2,5,82,"20,708"
14-Feb-04,"5,663","3,116","2,057","2,066","1,527",82,88,89,69,85,76,77,95,99,85,55,77,193,97,92,67,101,"2,743",248,248,249,250,248,250,250,250,250,250,250,"3,428",730,987,720,991,12,6,4,2,5,84,"20,701"
15-Feb-04,"5,662","3,113","2,058","2,066","1,527",82,89,89,69,85,75,77,95,99,85,55,77,193,97,92,67,101,"2,743",248,248,249,250,248,250,250,250,250,250,250,"3,426",730,985,720,991,12,6,4,2,5,84,"20,696"
16-Feb-04,"5,664","3,114","2,057","2,070","1,602",91,95,96,76,87,76,81,101,102,91,55,81,200,100,99,70,101,"2,741",248,248,249,250,246,250,250,250,250,250,250,"3,425",729,985,720,991,13,6,5,2,5,5,"20,696"
17-Feb-04,"5,663","3,124","2,054","2,081","1,594",91,95,96,76,87,77,79,99,102,91,55,79,200,99,98,70,100,"2,737",246,248,249,250,244,250,250,250,250,250,250,"3,424",728,989,716,991,13,6,5,2,5,6,"20,701"
18-Feb-04,"5,651","3,153","2,071","2,088","1,593",91,94,95,76,86,77,82,100,102,92,55,82,200,97,98,67,99,"2,743",247,248,249,250,250,250,250,250,249,250,250,"3,422",728,987,716,991,14,6,5,3,5,7,"20,747"
19-Feb-04,"5,659","3,177","2,070","2,085","1,595",91,94,95,75,85,76,82,102,102,91,55,82,205,97,97,67,99,"2,740",247,248,248,249,250,249,250,250,249,250,250,"3,422",728,988,715,991,14,6,5,3,5,6,"20,773"
20-Feb-04,"5,649","3,161","2,079","2,103","1,549",90,90,90,72,81,76,80,97,100,91,53,81,201,90,93,65,99,"2,741",250,248,249,249,249,249,249,250,249,250,249,"3,430",726,994,717,993,14,6,5,3,5,58,"20,789"
21-Feb-04,"5,648","3,160","2,081","2,103","1,548",90,90,90,72,81,76,78,97,100,91,53,81,201,91,93,65,99,"2,740",250,248,248,250,249,249,249,250,248,250,249,"3,429",726,994,717,992,14,6,5,3,5,57,"20,785"
22-Feb-04,"5,648","3,160","2,081","2,103","1,545",90,90,90,72,81,75,78,97,100,89,53,81,202,90,93,65,99,"2,740",250,248,248,250,249,249,249,250,248,250,249,"3,428",726,994,717,991,14,6,5,3,5,55,"20,779"
23-Feb-04,"5,668","3,144","2,070","2,117","1,580",91,94,94,72,85,73,79,102,101,89,55,82,208,93,97,66,99,"2,740",250,249,247,250,249,249,249,250,248,250,249,"3,425",724,993,717,991,14,6,5,3,5,0,"20,763"
24-Feb-04,"5,662","3,132","2,083","2,131","1,597",91,95,93,72,91,73,79,102,101,92,56,82,208,93,101,66,102,"2,742",248,250,247,250,250,249,249,250,250,250,249,"3,438",724,993,726,995,14,6,5,3,5,8,"20,812"
