Location,MS STATE PENITENTIARY(SEE NOTE BELOW),CENTRAL MS CORRECTIONAL FACILITY,SOUTH MS CORRECTIONAL INSTITUTION,COUNTY JAILS,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Bolivar County,Carroll County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Winston County,PRIVATE PRISONS,Delta                    (SEE NOTE BELOW),East MS,Marshall County,Walnut Grove,Wilkinson County,RESITITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION,E-CODE,TOTALS
Capacity,"4,892","3,233","2,214","2,224","1,816",92,102,96,102,102,102,102,102,102,92,93,93,228,102,102,102,102,"2,750",250,250,250,250,250,250,250,250,250,250,250,"4,960",960,"1,000","1,000","1,000","1,000",24,6,12,6,6,,"22,119"
1-Jul-04,"4,930","3,153","2,177","2,159","1,745",91,99,95,102,100,93,101,102,101,91,72,83,216,97,101,99,102,"2,731",247,249,249,249,246,248,248,249,250,248,248,"4,400",947,724,995,745,989,16,6,6,4,5,7,"21,323"
2-Jul-04,"4,921","3,151","2,177","2,138","1,745",91,99,95,102,101,97,100,102,101,91,73,83,215,97,99,99,100,"2,730",246,248,250,248,247,246,249,249,250,249,248,"4,407",946,730,993,744,994,16,6,6,4,5,7,"21,297"
3-Jul-04,"4,916","3,149","2,177","2,138","1,745",91,99,95,102,101,97,100,102,101,91,73,83,215,97,99,99,100,"2,730",246,248,250,248,247,246,249,249,250,249,248,"4,405",946,730,993,743,993,16,6,6,4,5,8,"21,289"
4-Jul-04,"4,915","3,149","2,177","2,138","1,745",91,99,95,102,101,97,100,102,101,91,73,83,215,97,99,99,100,"2,730",246,248,250,248,247,246,249,249,250,249,248,"4,404",945,730,993,743,993,16,6,6,4,5,8,"21,287"
5-Jul-04,"4,913","3,149","2,178","2,138","1,745",91,99,95,102,101,97,100,102,101,91,73,83,215,97,99,99,100,"2,730",246,248,250,248,247,246,249,249,250,249,248,"4,404",945,730,993,743,993,16,6,6,4,5,6,"21,284"
6-Jul-04,"4,909","3,134","2,180","2,136","1,743",91,99,94,102,99,100,100,102,102,91,73,82,216,96,99,97,100,"2,741",248,250,249,250,248,248,250,250,250,249,249,"4,409",945,729,993,752,990,15,6,5,4,5,6,"21,278"
7-Jul-04,"4,905","3,124","2,190","2,130","1,741",90,99,94,102,97,100,99,102,100,91,73,82,216,100,98,96,102,"2,741",250,250,248,250,247,248,250,250,250,249,249,"4,426",959,729,993,757,988,15,6,5,4,5,6,"21,283"
8-Jul-04,"4,890","3,149","2,188","2,147","1,740",92,102,94,102,96,100,98,102,100,91,73,83,215,101,95,96,100,"2,738",249,250,249,248,247,250,245,250,250,250,250,"4,427",958,728,991,756,994,15,6,5,4,5,9,"21,308"
9-Jul-04,"4,846","3,122","2,178","2,146","1,687",85,101,92,100,99,97,94,98,101,82,71,82,213,96,88,95,93,"2,736",243,249,250,249,248,249,250,249,250,250,249,"4,474",962,774,993,755,990,11,2,5,4,5,70,"21,275"
10-Jul-04,"4,844","3,119","2,177","2,143","1,687",85,101,92,100,99,97,94,98,101,82,71,82,213,96,88,95,93,"2,734",242,249,250,249,247,249,250,249,250,250,249,"4,474",962,774,993,755,990,11,2,5,4,5,71,"21,265"
11-Jul-04,"4,842","3,118","2,176","2,146","1,688",85,101,92,100,99,97,94,98,101,82,71,82,213,96,88,95,94,"2,733",241,249,250,249,248,249,249,249,250,250,249,"4,474",962,774,993,755,990,10,2,5,3,5,71,"21,263"
12-Jul-04,"4,841","3,126","2,170","2,158","1,745",92,102,94,102,101,101,97,101,102,90,72,83,216,101,96,95,100,"2,734",241,248,249,252,252,248,249,249,247,250,249,"4,475",962,774,996,754,989,14,6,5,3,5,6,"21,274"
13-Jul-04,"4,837","3,117","2,178","2,129","1,736",92,101,95,93,100,99,97,101,102,90,71,89,215,102,95,95,99,"2,746",249,250,249,250,249,249,250,250,250,250,250,"4,473",961,772,995,751,994,14,6,5,3,5,6,"21,241"
