Location,Mississippi State Penitentiary,Central Mississippi Correctional Facility,South Mississippi Correctional Institution,County Jails,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Bolivar County,Carroll County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Winston County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Tallahatchie County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION,E-CODE,TOTALS
Capacity,"4,527","3,665","3,204","1,662","1,848",92,102,96,102,102,102,102,102,102,92,93,93,260,102,102,102,102,"3,088",294,280,280,280,274,280,280,280,280,280,280,"4,972",972,"1,000","1,000",0,"1,000","1,000",16,6,6,4,6,0,"22,988"
19-Apr-08,"4,171","3,680","3,113","2,001","1,751",92,98,92,97,93,96,100,100,96,86,90,82,243,98,89,99,100,"3,083",293,280,280,280,273,281,279,280,280,280,277,"4,805",969,889,"1,000",0,954,993,12,5,4,3,5,28,"22,649"
20-Apr-08,"4,168","3,677","3,112","2,001","1,753",92,99,92,97,93,96,100,100,96,86,90,82,243,99,89,99,100,"3,083",293,280,280,280,273,281,279,280,280,280,277,"4,803",969,888,999,0,954,993,12,5,4,3,5,28,"22,642"
21-Apr-08,"4,176","3,693","3,105","2,006","1,769",92,100,93,99,95,96,101,100,100,86,90,85,247,100,88,99,98,"3,085",293,280,280,280,272,282,280,279,280,280,279,"4,809",970,890,"1,000",0,957,992,12,5,4,3,5,10,"22,670"
22-Apr-08,"4,179","3,695","3,117","2,011","1,775",92,100,95,99,94,97,99,100,95,83,89,86,249,100,100,99,98,"3,086",294,280,280,280,271,282,280,279,280,280,280,"4,812",972,892,"1,000",0,954,994,12,5,4,3,6,9,"22,702"
23-Apr-08,"4,163","3,718","3,119","2,006","1,782",92,101,95,99,97,97,99,101,94,83,88,89,250,100,101,99,97,"3,082",294,280,276,280,274,280,280,280,280,278,280,"4,823",971,893,"1,000",0,966,993,12,5,4,3,6,11,"22,722"
24-Apr-08,"4,171","3,726","3,124","2,015","1,778",92,100,94,99,97,97,97,101,94,83,90,89,249,100,101,99,96,"3,079",292,280,276,279,274,280,280,280,280,278,280,"4,823",971,894,"1,000",0,965,993,12,5,4,3,6,6,"22,740"
25-Apr-08,"4,171","3,734","3,121","2,009","1,763",89,100,93,97,97,96,96,99,91,91,88,89,250,98,98,96,95,"3,087",294,279,280,280,273,281,280,280,280,280,280,"4,822",972,891,999,0,967,993,9,4,2,3,6,26,"22,748"
26-Apr-08,"4,167","3,731","3,121","2,009","1,762",89,100,93,97,97,96,96,99,91,91,88,89,249,98,98,96,95,"3,082",294,279,279,280,271,281,280,280,279,280,279,"4,816",972,891,997,0,967,989,9,4,2,3,6,27,"22,730"
27-Apr-08,"4,162","3,731","3,120","2,009","1,762",89,100,93,97,97,96,96,99,91,91,88,89,249,98,98,96,95,"3,080",294,279,279,279,271,280,280,280,279,280,279,"4,813",972,891,997,0,965,988,9,4,2,3,6,26,"22,718"
