Location,Mississippi State Penitentiary,Central Mississippi Correctional Facility,South Mississippi Correctional Institution,County Jails,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Bolivar County,Carroll County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Winston County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION,E-CODE,TOTALS
Capacity,"4,627","3,665","3,204","1,752","1,848",92,102,96,102,102,102,102,102,102,92,93,93,260,102,102,102,102,"3,088",294,280,280,280,274,280,280,280,280,280,280,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,6,0,"24,178"
10-May-09,"4,075","3,469","3,093","1,742","1,526",78,81,70,85,78,85,82,79,93,72,81,69,245,90,80,70,88,"2,917",280,263,264,264,258,265,265,265,265,264,264,"5,485",955,"1,365",980,"1,209",976,9,3,4,2,6,30,"22,352"
11-May-09,"4,107","3,460","3,081","1,728","1,543",80,84,74,85,79,85,83,80,91,73,81,71,248,89,80,72,88,"2,931",280,267,265,266,260,266,266,265,266,265,265,"5,502",955,"1,364",983,"1,224",976,9,3,4,2,6,9,"22,376"
12-May-09,"4,126","3,451","3,100","1,692","1,537",80,84,73,84,78,86,82,80,91,73,80,70,248,88,80,72,88,"2,930",279,266,264,266,259,266,266,266,266,266,266,"5,503",955,"1,365",982,"1,223",978,9,3,4,2,6,7,"22,361"
13-May-09,"4,094","3,467","3,088","1,684","1,546",80,84,74,84,78,85,81,80,96,71,79,70,248,91,80,73,92,"2,920",276,266,263,264,258,264,266,266,266,266,265,"5,500",956,"1,364",983,"1,220",977,9,3,4,2,6,11,"22,325"
14-May-09,"4,112","3,465","3,088","1,661","1,544",79,82,73,83,75,91,81,79,96,71,79,70,251,91,79,72,92,"2,916",280,265,262,263,257,262,266,265,266,265,265,"5,494",956,"1,361",982,"1,218",977,9,3,4,2,6,13,"22,308"
15-May-09,"4,108","3,447","3,106","1,666","1,519",73,80,68,84,75,85,79,81,95,69,76,66,247,92,81,71,97,"2,918",279,265,262,264,259,263,266,265,266,265,264,"5,487",954,"1,359",984,"1,215",975,9,3,4,2,6,54,"22,320"
16-May-09,"4,103","3,446","3,107","1,666","1,512",73,80,68,83,72,85,79,81,95,69,76,65,246,92,81,71,96,"2,915",277,265,261,264,259,263,266,265,266,264,265,"5,483",954,"1,358",982,"1,215",974,9,3,4,2,6,55,"22,302"
17-May-09,"4,102","3,444","3,107","1,666","1,510",73,80,68,83,72,83,79,81,95,69,76,65,246,92,81,71,96,"2,913",276,265,261,264,259,263,265,265,266,264,265,"5,480",953,"1,357",982,"1,214",974,9,3,4,2,6,55,"22,292"
18-May-09,"4,120","3,429","3,112","1,662","1,543",80,79,70,83,71,86,79,82,96,70,77,68,249,100,82,75,96,"2,922",276,265,264,266,259,264,266,265,266,266,265,"5,479",953,"1,361",980,"1,210",975,10,4,4,2,6,12,"22,295"
