Location,Mississippi State Penitentiary,Central Mississippi Correctional Facility,South Mississippi Correctional Institution,County Jails,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION,E-CODE,TOTALS
Capacity,"3,356","3,449","3,204","1,608","1,848",92,102,96,102,102,102,102,102,102,92,93,93,260,102,102,102,102,"3,763",294,280,300,280,280,274,280,355,280,280,280,280,300,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,6,0,"23,222"
10-Mar-11,"3,216","3,239","3,180","1,660","1,374",68,75,76,80,81,77,63,71,75,65,76,63,182,87,83,76,76,"3,027",235,224,250,224,224,219,223,282,224,224,224,224,250,"5,244",902,"1,362",919,"1,174",887,10,6,4,0,5,5,"20,960"
11-Mar-11,"3,218","3,236","3,181","1,662","1,365",63,73,76,78,78,77,62,70,81,64,75,60,187,89,81,72,79,"3,022",235,223,249,224,224,219,223,283,223,224,223,224,248,"5,240",900,"1,361",924,"1,169",886,7,3,4,0,5,28,"20,964"
12-Mar-11,"3,217","3,232","3,177","1,662","1,364",63,73,76,78,78,77,62,70,81,64,75,60,187,88,81,72,79,"3,020",235,223,248,224,224,219,223,282,223,224,223,224,248,"5,238",900,"1,360",924,"1,169",885,7,3,4,0,5,30,"20,952"
13-Mar-11,"3,216","3,232","3,176","1,662","1,364",62,73,76,78,78,77,62,70,81,64,75,60,187,89,81,72,79,"3,015",235,223,247,224,223,219,223,281,223,224,222,224,247,"5,237",900,"1,360",924,"1,168",885,7,3,4,0,5,30,"20,944"
14-Mar-11,"3,221","3,248","3,180","1,699","1,378",65,75,74,82,77,76,65,70,84,65,76,60,191,86,81,73,78,"3,005",232,224,244,223,224,219,218,279,223,224,222,224,249,"5,231",903,"1,357",923,"1,163",885,7,3,4,0,5,6,"20,980"
15-Mar-11,"3,220","3,258","3,186","1,692","1,375",65,75,74,82,75,75,61,71,87,66,76,60,191,85,81,73,78,"3,012",231,223,243,224,224,219,221,283,224,224,223,224,249,"5,230",901,"1,354",923,"1,167",885,7,3,4,0,5,5,"20,990"
16-Mar-11,"3,224","3,264","3,183","1,690","1,382",65,75,74,82,75,74,61,71,90,65,76,60,191,89,81,75,78,"3,020",235,223,243,223,224,219,223,284,224,224,223,224,251,"5,239",904,"1,355",923,"1,171",886,7,3,4,0,5,4,"21,018"
17-Mar-11,"3,227","3,240","3,175","1,712","1,392",65,75,74,81,74,74,61,71,90,65,76,60,192,93,82,75,84,"3,020",234,223,243,223,224,220,223,284,224,224,223,224,251,"5,242",904,"1,354",923,"1,172",889,7,3,4,0,5,5,"21,025"
18-Mar-11,"3,223","3,213","3,176","1,723","1,385",62,73,75,79,76,68,67,71,91,61,80,60,191,93,82,73,83,"3,023",234,224,243,224,224,221,223,283,224,224,224,224,251,"5,223",902,"1,355",922,"1,155",889,7,3,4,0,5,30,"21,008"
