Location,Mississippi State Penitentiary,Central Mississippi Correctional Facility,South Mississippi Correctional Institution,County Jails,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION,E-CODE,TOTALS
Capacity,"3,356","3,449","3,204","1,632","1,848",92,102,96,102,102,102,102,102,102,92,93,93,260,102,102,102,102,"4,063",300,294,280,300,280,280,274,280,355,280,280,280,280,300,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,6,0,"23,546"
1-Aug-11,"3,076","3,231","3,147","1,911","1,585",78,75,86,84,90,92,81,92,97,88,93,81,196,96,85,82,89,"3,269",251,234,222,247,224,224,218,222,283,222,224,224,223,251,"5,128",900,"1,343",999,997,889,9,6,3,0,5,9,"21,370"
2-Aug-11,"3,070","3,247","3,152","1,892","1,575",79,74,86,87,87,91,78,91,97,89,93,79,194,92,87,82,89,"3,273",251,235,224,247,224,224,219,224,282,221,224,224,223,251,"5,141",899,"1,357",999,997,889,8,5,3,0,5,9,"21,372"
3-Aug-11,"3,069","3,266","3,139","1,892","1,576",77,73,86,88,90,90,78,93,97,90,93,79,197,91,85,80,89,"3,277",251,235,224,250,224,224,219,224,283,224,221,224,223,251,"5,149",899,"1,360",998,995,897,8,5,3,0,5,9,"21,390"
4-Aug-11,"3,069","3,283","3,138","1,881","1,560",76,72,85,87,89,88,77,92,96,88,93,79,197,90,85,78,88,"3,280",254,235,224,250,223,224,218,224,284,223,224,224,224,249,"5,148",899,"1,357",997,995,900,9,5,4,0,5,7,"21,380"
5-Aug-11,"3,075","3,273","3,123","1,885","1,561",77,77,86,86,87,86,74,83,99,90,93,80,198,90,89,78,88,"3,277",253,235,223,250,223,224,218,224,283,224,227,223,221,249,"5,141",898,"1,357",997,989,900,7,3,4,0,5,17,"21,364"
6-Aug-11,"3,074","3,269","3,123","1,885","1,557",77,77,85,86,87,85,74,83,99,90,93,79,197,90,89,78,88,"3,276",253,235,223,250,223,224,218,224,283,224,227,223,220,249,"5,137",898,"1,357",996,987,899,7,3,4,0,5,17,"21,350"
7-Aug-11,"3,072","3,268","3,122","1,885","1,557",78,77,85,86,87,85,74,83,98,90,92,79,198,90,89,78,88,"3,272",253,233,223,250,223,224,218,224,282,224,227,223,220,248,"5,134",897,"1,357",995,987,898,7,3,4,0,5,19,"21,341"
8-Aug-11,"3,080","3,262","3,120","1,864","1,570",78,76,85,87,91,86,74,84,95,90,92,77,204,95,88,78,90,"3,277",253,233,224,248,224,223,218,224,283,225,227,223,223,249,"5,142",898,"1,356",999,991,898,7,3,4,0,5,11,"21,338"
9-Aug-11,"3,075","3,278","3,099","1,872","1,576",78,76,85,88,93,90,74,84,95,89,89,76,207,95,88,80,89,"3,282",253,235,225,248,224,224,219,224,283,225,226,224,224,248,"5,155",900,"1,357",997,995,906,6,3,3,0,5,11,"21,359"
