Location,Mississippi State Penitentiary,Central Mississippi Correctional Facility,South Mississippi Correctional Institution,County Jails,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Washington County,Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION    (CLOSED),E-CODE,TOTALS
Capacity,"4,648","3,665","3,282","1,736","1,848",92,102,96,102,102,102,102,102,102,92,93,93,260,102,102,102,102,"4,438",300,369,280,300,280,280,274,280,355,280,280,280,300,280,300,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,6,0,"25,611"
10-Sep-12,"3,383","3,281","3,183","2,196","1,560",90,70,71,88,74,74,83,82,91,80,88,89,252,95,77,63,93,"4,344",299,367,280,297,280,280,274,280,337,278,280,280,233,279,300,"4,187",0,"1,222",999,"1,065",901,15,6,6,3,0,7,"22,156"
11-Sep-12,"3,375","3,268","3,193","2,112","1,567",90,70,79,88,73,75,82,82,90,80,90,86,252,95,78,65,92,"4,349",299,369,280,300,278,280,273,280,339,279,279,280,233,280,300,"4,188",0,"1,224",999,"1,066",899,15,6,6,3,0,7,"22,074"
12-Sep-12,"3,380","3,273","3,191","2,102","1,562",90,71,77,87,72,75,82,81,90,79,90,85,251,97,78,65,92,"4,339",300,368,280,300,277,280,274,280,337,280,279,279,228,279,298,"4,197",0,"1,221",999,"1,070",907,14,5,6,3,0,5,"22,063"
13-Sep-12,"3,370","3,258","3,197","2,091","1,568",91,73,77,87,72,74,81,80,91,78,93,84,253,102,79,64,89,"4,355",301,369,280,300,277,280,273,280,340,280,280,279,239,279,298,"4,195",0,"1,220",998,"1,070",907,14,5,6,3,0,6,"22,054"
14-Sep-12,"3,376","3,259","3,180","2,139","1,549",90,73,80,84,73,71,80,76,90,76,92,83,251,99,77,60,94,"4,355",301,370,280,300,279,278,273,280,339,280,279,280,241,278,297,"4,189",0,"1,217","1,000","1,066",906,14,5,6,3,0,34,"22,095"
15-Sep-12,"3,373","3,260","3,178","2,139","1,543",90,73,80,82,73,71,79,76,90,76,92,83,249,99,77,60,93,"4,353",301,370,279,300,279,278,273,280,338,280,279,280,241,278,297,"4,187",0,"1,217",999,"1,066",905,14,5,6,3,0,33,"22,080"
16-Sep-12,"3,372","3,258","3,174","2,139","1,541",90,73,80,84,72,71,79,74,90,76,92,83,249,99,76,60,93,"4,352",301,370,279,300,279,278,273,280,338,280,279,280,241,277,297,"4,187",0,"1,217",999,"1,066",905,14,5,6,3,0,35,"22,072"
17-Sep-12,"3,370","3,251","3,187","2,168","1,557",90,73,78,87,73,72,80,76,90,78,93,83,249,101,78,62,94,"4,358",300,369,279,300,279,279,274,280,339,280,279,280,241,279,300,"4,186",0,"1,216","1,001","1,064",905,14,5,6,3,0,9,"22,100"
18-Sep-12,"3,374","3,267","3,191","2,187","1,556",92,73,78,87,75,70,81,75,90,78,93,82,250,100,78,60,94,"4,361",300,369,280,300,279,280,273,280,340,280,280,279,240,280,301,"4,191",0,"1,217","1,000","1,069",905,14,5,6,3,0,5,"22,146"
