Location,Mississippi State Penitentiary,Central Mississippi Correctional Facility,Youthful Offender Unit,South Mississippi Correctional Institution,County Jails,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Washington County,Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION    (CLOSED),E-CODE,TOTALS
Capacity,"4,648","3,557",42,"3,282","1,872","1,848",92,102,96,102,102,102,102,102,102,92,93,93,260,102,102,102,102,"4,438",300,369,280,300,280,280,274,280,355,280,280,280,300,280,300,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,6,0,"25,681"
1-Mar-13,"3,341","3,193",26,"3,221","2,289","1,528",90,74,68,75,78,71,77,79,85,76,90,89,248,95,77,73,83,"4,364",300,369,278,300,280,280,274,279,339,280,280,278,245,282,300,"4,304",0,"1,125",997,"1,282",900,63,4,5,4,0,50,"22,329"
2-Mar-13,"3,341","3,193",26,"3,218","2,289","1,528",90,74,68,75,78,71,76,79,85,76,90,89,248,96,77,73,83,"4,360",300,369,277,300,280,280,273,278,339,280,280,278,245,281,300,"4,302",0,"1,125",996,"1,281",900,62,4,5,4,0,49,"22,319"
3-Mar-13,"3,340","3,194",26,"3,221","2,285","1,524",90,74,68,75,76,71,76,79,85,76,89,89,248,96,77,72,83,"4,353",297,369,277,299,279,280,273,277,339,280,280,278,245,281,299,"4,301",0,"1,125",996,"1,280",900,61,4,5,4,0,48,"22,305"
4-Mar-13,"3,340","3,200",26,"3,222","2,304","1,561",91,76,73,77,79,73,78,82,86,79,93,92,250,97,79,70,86,"4,352",296,369,279,299,278,280,274,277,339,280,280,278,243,281,299,"4,314",0,"1,123",996,"1,292",903,21,3,5,4,0,9,"22,340"
5-Mar-13,"3,347","3,223",26,"3,227","2,306","1,557",91,75,72,74,81,73,78,82,87,79,93,92,249,97,78,69,87,"4,347",295,368,279,298,279,279,274,277,339,279,279,278,242,281,300,"4,317",0,"1,123",996,"1,296",902,22,3,6,4,0,9,"22,372"
6-Mar-13,"3,353","3,231",25,"3,229","2,314","1,559",88,74,73,77,81,73,79,81,86,80,93,92,249,99,78,69,87,"4,347",295,369,279,297,278,279,274,280,339,278,278,280,242,280,299,"4,319",0,"1,122",996,"1,296",905,22,3,6,4,0,9,"22,399"
7-Mar-13,"3,350","3,246",26,"3,225","2,319","1,555",88,74,73,78,82,73,80,81,84,82,90,91,247,98,78,69,87,"4,350",300,369,280,297,278,279,274,279,337,277,280,280,241,280,299,"4,316",0,"1,122",995,"1,294",905,24,3,6,4,0,11,"22,411"
8-Mar-13,"3,380","3,216",27,"3,222","2,333","1,535",85,73,73,77,81,75,77,78,85,80,91,90,244,96,78,65,87,"4,353",300,368,279,300,279,280,273,278,337,279,280,279,243,280,298,"4,315",0,"1,120",993,"1,297",905,49,4,6,4,0,35,"22,430"
9-Mar-13,"3,378","3,216",27,"3,222","2,332","1,533",85,73,73,77,81,75,75,78,85,79,91,90,244,96,78,66,87,"4,347",300,368,279,299,278,280,273,278,337,279,280,279,240,280,297,"4,312",0,"1,119",992,"1,296",905,49,4,6,4,0,35,"22,416"
