Location,Mississippi State Penitentiary,Central Mississippi Correctional Facility,Youthful Offender Unit,South Mississippi Correctional Institution,County Jails,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Washington County,Winston County,Yazoo County,PRIVATE PRISONS,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,TOTALS
Capacity,"4,648","3,665",42,"3,282","2,020","1,848",92,102,96,102,102,102,102,102,102,92,93,93,260,102,102,102,102,"4,560",360,369,280,362,280,280,274,280,355,280,280,280,300,280,300,5000,"1,500","1,000","1,500","1,000",16,6,6,4,"25,081"
22-Jul-14,"3,346","2,526",41,"3,192","1,697","1,158",87,46,51,57,56,50,43,44,70,77,84,71,189,96,49,44,44,"4,416",298,368,280,300,276,279,273,278,354,279,280,280,294,278,299,4294,"1,200",1000,"1,271",823,8,5,2,1,"20,678"
23-Jul-14,"3,349","2,515",41,"3,188","1,694","1,162",87,46,51,58,56,50,43,43,70,76,84,73,189,99,49,44,44,"4,413",301,367,276,299,275,280,271,280,354,276,280,280,293,279,302,4303,"1,200",999,"1,283",821,8,5,2,1,"20,673"
24-Jul-14,"3,342","2,482",41,"3,198","1,737","1,170",88,47,51,59,56,50,41,45,70,74,86,76,187,101,50,43,46,"4,410",301,366,272,300,280,277,273,280,352,276,280,280,297,277,299,4300,"1,199",999,"1,283",819,8,5,2,1,"20,688"
25-Jul-14,"3,347","2,433",42,"3,190","1,745","1,189",88,46,50,57,55,50,41,46,69,73,86,76,207,101,50,49,45,"4,419",301,368,279,300,280,280,273,278,355,275,280,280,295,276,299,4304,"1,199",998,"1,280",827,8,5,2,1,"20,677"
26-Jul-14,"3,345","2,432",42,"3,185","1,745","1,189",88,46,50,57,55,50,41,46,69,73,86,76,207,101,50,49,45,"4,417",301,368,278,300,280,280,273,278,355,274,280,280,295,276,299,4301,"1,199",996,"1,279",827,8,5,2,1,"20,664"
27-Jul-14,"3,345","2,432",42,"3,185","1,765","1,165",88,46,50,56,55,50,41,46,69,72,86,75,186,101,50,49,45,"4,416",301,368,278,300,280,280,273,278,355,274,280,280,295,276,298,4299,"1,198",996,"1,278",827,8,5,2,1,"20,657"
28-Jul-14,"3,332","2,435",41,"3,188","1,747","1,189",88,46,53,57,57,50,41,48,72,72,86,75,202,99,50,48,45,"4,410",299,368,278,300,278,280,272,278,355,276,279,279,292,277,299,4273,"1,198",996,"1,252",827,8,5,2,1,"20,623"
29-Jul-14,"3,342","2,446",41,"3,205","1,759","1,169",89,48,53,57,57,50,41,48,71,72,80,73,187,100,50,48,45,"4,410",299,368,278,299,280,280,274,279,354,276,279,279,291,276,298,4261,"1,198",998,"1,246",819,8,5,2,1,"20,641"
30-Jul-14,"3,336","2,434",41,"3,223","1,732","1,175",88,48,59,57,52,54,41,47,71,72,83,74,187,100,49,48,45,"4,420",302,368,280,300,280,280,272,278,355,280,280,278,290,278,299,4271,"1,197",997,"1,259",818,7,5,1,1,"20,639"
31-Jul-14,"3,344","2,461",35,"3,219","1,717","1,183",88,49,56,59,51,53,41,47,70,78,81,70,190,102,55,48,45,"4,390",301,367,279,299,274,277,271,273,354,276,280,278,289,276,296,4268,"1,198",995,"1,257",818,7,5,1,1,"20,624"
Avg Pop,"3,344","2,555",43,"3,185","1,719","1,172",88,45,52,59,55,49,45,48,67,76,81,70,197,99,49,46,45,"4,415",300,367,279,300,278,279,273,278,353,278,279,279,295,278,299,"4,283","1,199",999,"1,257",827,10,6,4,1,"20,725"
