Location,Mississippi State Penitentiary,Central Mississippi Correctional Facility,Youthful Offender Unit,CMCF TVC,South Mississippi Correctional Institution,County Jails,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Washington County,Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION    (CLOSED),E-CODE,TOTALS
Capacity,"4,648","3,469",58,350,"3,282","1,973","1,848",92,102,96,102,102,102,102,102,102,92,93,93,260,102,102,102,102,"4,438",300,369,280,300,280,280,274,280,355,280,280,280,300,280,300,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,6,0,"25,710"
10-Dec-14,"3,165","2,158",35,87,"2,642","1,490","1,118",71,51,54,50,49,46,58,54,56,73,83,54,191,87,53,38,50,"4,214",300,361,260,300,257,264,255,260,333,249,274,270,280,266,285,"4,331",0,"1,175",993,"1,273",890,7,3,3,1,0,0,"19,247"
11-Dec-14,"3,157","2,177",35,87,"2,635","1,491","1,114",69,51,53,48,49,48,58,54,57,75,81,54,192,87,52,36,50,"4,209",300,361,260,298,257,264,253,259,333,250,272,272,278,266,286,"4,332",0,"1,177",993,"1,273",889,9,3,3,3,0,0,"19,246"
12-Dec-14,"3,141","2,210",34,86,"2,632","1,489","1,113",69,50,53,51,49,50,57,51,57,75,81,54,191,88,52,35,50,"4,209",300,361,260,298,257,265,254,257,332,250,272,271,278,267,287,"4,310",0,"1,177","1,000","1,244",889,9,3,3,3,0,0,"19,233"
13-Dec-14,"3,140","2,212",34,82,"2,633","1,489","1,112",69,50,53,51,49,50,57,51,57,75,81,53,191,88,52,35,50,"4,206",300,360,260,298,256,265,254,257,332,250,271,271,278,267,287,"4,310",0,"1,177","1,000","1,244",889,9,3,3,3,0,0,"19,227"
14-Dec-14,"3,139","2,210",34,80,"2,632","1,489","1,112",69,50,53,51,49,50,57,51,57,75,81,53,191,88,52,35,50,"4,206",300,360,260,298,256,265,254,257,332,250,271,271,278,267,287,"4,310",0,"1,177","1,000","1,244",889,9,3,3,3,0,0,"19,221"
15-Dec-14,"3,145","2,208",34,85,"2,632","1,469","1,109",69,49,53,51,49,49,57,51,57,75,81,53,190,88,52,35,50,"4,212",300,362,259,301,256,265,252,256,331,251,271,270,277,271,290,"4,301",0,"1,169",999,"1,245",888,9,3,3,3,0,0,"19,204"
16-Dec-14,"3,145","2,222",35,85,"2,610","1,490","1,108",69,53,52,51,48,47,56,51,55,76,84,53,188,88,52,35,50,"4,200",300,367,259,300,253,265,252,255,329,246,270,268,277,270,289,"4,296",0,"1,172",998,"1,239",887,9,3,3,3,,0,"19,200"
17-Dec-14,"3,149","2,222",35,85,"2,610","1,504","1,117",69,55,51,51,47,48,56,54,54,76,85,53,189,91,52,35,51,"4,183",298,369,263,299,252,264,251,259,333,249,274,272,276,281,243,"4,294",0,"1,173",996,"1,240",885,9,3,3,3,,,"19,208"
18-Dec-14,"3,169","2,225",35,85,"2,601","1,454","1,122",69,56,51,51,48,48,54,54,53,76,85,53,189,96,52,35,52,"4,224",298,369,262,299,251,264,251,258,332,249,274,273,281,280,283,"4,290",0,"1,174",995,"1,237",884,9,3,3,3,0,0,"19,214"
