Location,Mississippi State Penitentiary,MSP TVC,Central Mississippi Correctional Facility,Youthful Offender Unit,CMCF TVC,South Mississippi Correctional Institution,SMCI TVC,County Jails,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Washington County,Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,TOTALS
Capacity,"4,648",108,"3,469",58,158,"3,282",0,"1,995","1,848",92,102,96,102,102,102,102,102,102,92,93,93,260,102,102,102,102,"4,438",300,369,280,300,280,280,274,280,355,280,280,280,300,280,300,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,"25,726"
19-Mar-15,"3,091",92,"2,395",24,125,"2,412",96,"1,548","1,038",52,52,52,56,43,50,41,49,50,58,73,51,163,100,48,52,48,"4,178",300,354,265,300,254,264,262,267,327,256,268,274,252,254,281,"4,011",0,"1,164",998,958,891,5,3,1,1,"19,015"
20-Mar-15,"3,145",91,"2,395",24,125,"2,412",96,"1,529",998,52,49,52,56,46,49,40,47,40,57,80,51,159,100,44,31,45,"4,170",300,351,264,300,264,262,258,266,324,256,268,273,250,253,281,"4,013",0,"1,167",997,958,891,5,3,1,1,"19,003"
21-Mar-15,"3,100",91,"2,395",24,125,"2,412",96,"1,547","1,018",52,49,52,56,46,49,40,47,40,57,80,50,159,100,44,52,45,"4,165",300,351,264,300,264,262,256,265,324,254,268,273,250,253,281,"4,012",0,"1,166",997,958,891,5,3,1,1,"18,990"
22-Mar-15,"3,099",91,"2,395",24,125,"2,412",96,"1,512","1,019",52,49,52,56,46,49,40,47,40,57,80,51,159,100,44,52,45,"4,170",300,351,264,300,264,262,258,266,324,256,268,273,250,253,281,"4,013",0,"1,167",997,958,891,5,3,1,1,"18,961"
23-Mar-15,"3,102",84,"2,382",24,126,"2,364",87,"1,616","1,027",52,50,52,56,46,49,39,47,40,58,80,52,163,100,47,49,47,"4,157",287,351,264,300,260,269,255,265,329,251,269,273,250,253,281,"4,016",0,"1,166",998,956,896,5,3,1,1,"18,990"
24-Mar-15,"3,192",93,"2,403",24,121,"2,323",92,"1,521","1,038",51,50,51,56,45,49,40,48,39,58,86,52,171,100,47,48,47,"4,169",300,352,263,300,257,269,256,263,340,251,269,272,249,249,279,"4,013",0,"1,166",998,955,894,5,3,1,1,"18,994"
25-Mar-15,"3,184",95,"2,409",24,119,"2,325",93,"1,517","1,058",51,49,50,56,45,49,40,47,47,58,86,53,183,101,47,49,47,"4,177",300,349,273,300,260,270,256,262,341,250,267,272,251,248,278,"4,011",0,"1,164",998,957,892,5,3,1,1,"19,017"
26-Mar-15,"3,097",92,"2,407",24,118,"2,418",97,"1,533","1,051",54,48,50,57,45,49,40,47,48,59,85,53,172,101,47,49,47,"4,171",300,349,274,300,258,270,256,257,340,253,267,272,251,246,278,"4,009",0,"1,163","1,000",954,892,7,3,3,1,"19,024"
27-Mar-15,"3,211",92,"2,400",24,118,"2,325",97,"1,531","1,038",54,46,49,56,44,51,39,46,46,56,85,53,171,99,47,49,47,"4,172",300,354,278,295,257,271,253,258,342,256,266,271,251,242,278,"3,990",0,"1,166",999,931,894,7,3,3,1,"19,005"
