Location,Mississippi State Penitentiary,MSP TVC,Central Mississippi Correctional Facility,Youthful Offender Unit,CMCF TVC,South Mississippi Correctional Institution,SMCI TVC,County Jails,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Flowood TVC,Simpson TVC and Simpson TVC support,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Washington County,Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,TOTALS
Capacity,"3,590",,"2,824",58,,"2,882",,"1,780","1,848",92,102,96,102,102,102,102,102,102,92,93,93,260,,102,102,102,102,"4,438",300,369,280,300,280,280,274,280,355,280,280,280,300,280,300,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,"23,408"
10-Jan-16,"3,264",20,"2,774",30,21,"2,696",12,977,"1,003",0,42,63,55,61,45,0,35,73,82,74,72,154,0,55,85,60,47,"3,896",0,351,268,263,275,278,251,271,338,264,279,279,231,265,283,"3,941",0,"1,140","1,000",934,867,10,2,6,2,"18,644"
11-Jan-16,"3,263",18,"2,770",30,21,"2,692",12,"1,017","1,034",0,42,70,61,63,48,0,39,73,82,73,73,161,0,53,85,58,53,"3,890",0,350,268,263,274,278,251,271,336,264,279,277,231,265,283,"3,927",0,"1,134","1,000",928,865,11,3,6,2,"18,685"
12-Jan-16,"3,258",18,"2,775",30,20,"2,691",12,"1,072","1,024",0,42,69,61,62,47,0,37,72,83,72,74,160,0,52,83,57,53,"3,884",0,350,268,263,272,277,251,271,335,264,279,277,231,265,281,"3,925",0,"1,133","1,000",927,865,11,3,6,2,"18,720"
13-Jan-16,"3,253",18,"2,776",30,19,"2,687",12,"1,098","1,022",0,42,69,61,61,47,0,37,72,82,72,75,160,0,51,83,57,53,"3,876",0,349,268,262,272,275,251,271,334,264,279,277,231,264,279,"3,923",0,"1,132","1,000",927,864,11,3,6,2,"18,725"
14-Jan-16,"3,250",18,"2,772",30,19,"2,685",10,"1,117","1,012",0,42,68,59,61,47,0,37,72,82,72,74,155,0,50,83,57,53,"3,866",0,349,267,260,271,273,251,269,334,264,279,277,230,263,279,"3,917",0,"1,131","1,000",922,864,11,3,6,2,"18,707"
15-Jan-16,"3,245",18,"2,785",30,19,"2,684",10,"1,127",968,0,39,68,54,53,44,0,36,70,76,71,75,144,0,47,83,56,52,"3,859",0,349,267,260,270,273,251,269,333,264,278,276,230,260,279,"3,914",0,"1,129","1,000",922,863,10,3,5,2,"18,669"
16-Jan-16,"3,244",17,"2,783",30,19,"2,684",10,"1,127",968,0,39,68,54,53,44,0,36,70,76,71,75,144,0,47,83,56,52,"3,858",0,349,267,260,270,273,250,269,333,264,278,276,230,260,279,"3,913",0,"1,128","1,000",922,863,10,3,5,2,"18,663"
17-Jan-16,"3,244",17,"2,783",30,19,"2,682",10,"1,127",967,0,39,68,54,53,44,0,36,70,76,71,74,144,0,47,83,56,52,"3,857",0,349,267,260,270,273,250,269,333,264,278,276,230,259,279,"3,912",0,"1,128","1,000",922,862,10,3,5,2,"18,658"
18-Jan-16,"3,241",17,"2,783",30,18,"2,680",10,"1,130",998,0,43,68,59,58,45,0,37,70,81,72,74,153,0,47,84,54,53,"3,857",0,349,267,260,270,273,250,269,333,264,278,276,230,259,279,"3,911",0,"1,128",999,922,862,11,3,6,2,"18,686"
