Location,Mississippi State Penitentiary,Central Mississippi Correctional Facility,Youthful Offender Unit,CMCF TVC,South Mississippi Correctional Institution,County Jails,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore TVC,Leflore TVC Support,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Rankin RID,Flowood TVC,Simpson TVC,Simpson TVC Support,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Washington County,Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,TRANSITIONAL HOUSING,Madison,Noxubee,Rankin/Flowood,Washington,Wilkinson,TOTALS
Capacity,"3,590","3,750",58,0,"3,082","1,781","1,188",0,0,96,102,102,0,0,82,20,62,58,93,93,178,28,50,82,20,60,62,0,"4,494",300,369,280,310,280,280,274,280,355,280,280,326,300,280,300,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,164,40,34,8,42,40,"24,095"
18-Sep-17,"3,353","3,430",33,28,"3,035","1,351",898,0,0,59,69,62,0,0,76,18,60,51,79,46,159,9,8,72,15,59,56,0,"3,800",238,294,243,278,271,219,272,277,349,197,223,261,216,223,239,"3,106",0,"1,204",997,0,905,13,4,6,3,36,2,29,5,0,0,"19,083"
19-Sep-17,"3,371","3,419",33,28,"3,037","1,365",895,0,0,58,70,62,0,0,75,18,60,50,79,46,159,9,8,71,15,60,55,0,"3,797",238,294,243,278,271,219,272,278,350,197,222,261,216,219,239,"3,105",0,"1,203",997,0,905,13,4,6,3,42,2,35,5,0,0,"19,105"
20-Sep-17,"3,357","3,460",33,27,"3,048","1,332",890,0,0,57,71,61,0,0,75,19,60,50,79,49,158,9,8,69,15,56,54,0,"3,799",238,294,253,277,273,219,272,268,350,197,222,261,216,219,240,"3,106",0,"1,202",999,0,905,13,4,6,3,42,2,35,5,0,0,"19,107"
21-Sep-17,"3,350","3,462",33,28,"3,047","1,324",889,0,0,56,71,61,0,0,75,19,60,49,79,48,158,9,8,68,15,55,58,0,"3,807",238,294,253,277,271,224,272,277,350,196,222,261,215,217,240,"3,107",0,"1,203",999,0,905,13,4,6,3,42,2,35,5,0,0,"19,102"
22-Sep-17,"3,342","3,475",34,27,"3,043","1,351",896,0,0,54,69,58,0,0,80,19,61,47,79,48,158,9,8,80,13,55,58,0,"3,794",238,294,253,277,271,224,273,277,350,194,221,261,210,217,234,"3,100",0,"1,201",999,0,900,11,4,5,2,44,2,35,5,0,2,"19,117"
23-Sep-17,"3,342","3,471",34,27,"3,040","1,351",894,0,0,53,69,57,0,0,80,19,61,47,79,48,158,9,8,80,13,55,58,0,"3,793",238,294,253,277,271,224,273,277,349,194,221,261,210,217,234,"3,100",0,"1,201",999,0,900,11,4,5,2,44,2,35,5,0,2,"19,107"
24-Sep-17,"3,342","3,472",34,27,"3,040","1,351",891,0,0,53,69,57,0,0,79,19,61,46,79,48,158,9,8,79,13,55,58,0,"3,793",238,294,253,277,271,224,273,277,349,194,221,261,210,217,234,"3,100",0,"1,201",999,0,900,11,4,5,2,44,2,35,5,0,2,"19,105"
25-Sep-17,"3,344","3,475",34,27,"3,039","1,407",912,0,0,62,71,60,0,0,78,19,62,48,78,48,162,9,8,79,15,55,58,0,"3,806",238,293,253,277,270,224,273,279,351,198,221,260,210,220,239,"3,099",0,"1,200",999,0,900,13,4,6,3,44,2,35,5,0,2,"19,200"
26-Sep-17,"3,347","3,510",34,27,"3,032","1,396",903,0,0,65,71,60,0,0,74,19,61,48,78,48,159,9,7,77,15,54,58,0,"3,802",238,293,253,275,272,224,272,278,349,198,223,260,210,219,238,"3,098",0,"1,199",999,0,900,13,4,6,3,44,2,35,5,0,2,"19,206"
27-Sep-17,"3,327","3,539",33,27,"3,019","1,398",900,0,0,65,71,62,0,0,73,19,62,48,78,48,158,9,7,76,15,54,55,0,"3,776",237,292,250,274,271,223,268,276,348,196,223,260,208,218,232,"3,088",0,"1,195",995,0,898,13,4,6,3,42,2,33,5,0,2,"19,162"
28-Sep-17,"3,334","3,529",33,28,"3,013","1,387",902,0,0,65,71,61,0,0,73,19,62,48,78,48,158,9,7,76,15,54,58,0,"3,806",236,292,260,283,273,223,267,276,346,200,222,261,206,221,240,"3,087",0,"1,194",995,0,898,14,4,6,4,41,2,33,4,0,2,"19,174"
29-Sep-17,"3,325","3,501",33,26,"3,051","1,394",890,0,0,64,70,59,0,0,72,19,62,46,71,47,161,10,7,75,15,55,57,0,"3,804",236,294,259,283,272,222,274,275,343,200,221,261,204,220,240,"3,076",0,"1,193",995,0,888,13,4,5,4,41,2,33,4,0,2,"19,154"
30-Sep-17,"3,323","3,501",33,26,"3,048","1,394",889,0,0,64,70,59,0,0,71,19,62,46,71,47,161,10,7,75,15,55,57,0,"3,803",236,294,259,283,272,222,274,274,343,200,221,261,204,220,240,"3,075",0,"1,192",995,0,888,13,4,5,4,41,2,33,4,0,2,"19,146"
Avg Population,"3,349",3400,33,19,3040,1346,901,0,0,61,69,61,0,0,75,19,60,49,77,48,162,9,9,77,15,57,55,0,3809,239,293,250,278,273,223,272,277,349,199,223,261,215,221,238,3105,0,1209,998,0,898,13,5,5,3,38,2,31,5,0,1,19052
