Location,Mississippi State Penitentiary,Central Mississippi Correctional Facility,Youthful Offender Unit,CMCF TVC,South Mississippi Correctional Institution,County Jails,COMMUNITY WORK CENTERS,Alcorn Satellite Facility (closed),Bolivar Satellite Facility (closed),Delta Satellite Facility,Delta TVC,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility (closed),Jefferson Satellite Facility (closed),Leflore TVC (closed),Leflore TVC Support (closed),Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Rankin RID,Flowood TVC,Simpson TVC (closed),Simpson TVC Support (closed),Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility (closed),REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Washington County,Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood (closed),Hinds,Pascagoula,TRANSITIONAL HOUSING,Madison,Noxubee,Rankin/Flowood,Washington (closed),Wilkinson (closed),TOTALS
Capacity,"3,590","3,920",58,0,"3,082","1,781","1,488",0,0,0,300,96,102,102,0,0,82,20,62,58,93,93,178,28,50,82,20,60,62,0,"4,556",300,369,280,310,342,280,274,280,355,280,280,326,300,280,300,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,164,40,34,8,42,40,"24,627"
18-Apr-18,"3,444","3,752",32,0,"2,914","1,258",825,0,0,63,96,65,69,57,0,0,0,0,61,43,79,51,145,24,23,0,0,0,49,0,"3,817",269,294,250,287,257,254,244,251,256,252,250,264,190,252,247,"3,205",0,"1,281",999,0,925,6,0,4,2,26,4,11,11,0,0,"19,279"
19-Apr-18,"3,442","3,734",32,0,"2,952","1,255",826,0,0,63,96,65,69,57,0,0,0,0,61,43,79,51,145,24,22,0,0,0,51,0,"3,810",269,294,250,287,257,250,249,260,255,251,250,250,189,250,249,"3,182",0,"1,279",978,0,925,6,0,4,2,26,4,11,11,0,0,"19,265"
20-Apr-18,"3,428","3,738",32,0,"2,977","1,267",827,0,0,52,108,64,69,57,0,0,0,0,61,46,79,50,144,24,22,0,0,0,51,0,"3,781",261,294,248,287,250,250,249,260,250,247,250,250,189,247,249,"3,209",0,"1,278",998,0,933,6,0,4,2,26,4,11,11,0,0,"19,291"
21-Apr-18,"3,427","3,739",32,0,"2,977","1,267",837,0,0,62,108,64,69,57,0,0,0,0,61,46,79,50,144,24,22,0,0,0,51,0,"3,780",261,294,247,287,250,250,249,260,250,247,250,250,189,247,249,"3,209",0,"1,278",998,0,933,6,0,4,2,26,4,11,11,0,0,"19,300"
22-Apr-18,"3,424","3,738",32,0,"2,976","1,267",836,0,0,62,108,64,69,57,0,0,0,0,61,45,79,50,144,24,22,0,0,0,51,0,"3,780",261,294,247,287,250,250,249,260,250,247,250,250,189,247,249,"3,209",0,"1,278",998,0,933,6,0,4,2,26,4,11,11,0,0,"19,294"
23-Apr-18,"3,434","3,766",32,0,"2,974","1,268",829,0,0,63,102,63,68,57,0,0,0,0,60,45,76,50,145,23,26,0,0,0,51,0,"3,773",261,294,247,286,247,250,249,260,250,246,250,250,189,245,249,"3,220",0,"1,290",998,0,932,6,0,4,2,26,4,11,11,0,0,"19,328"
24-Apr-18,"3,429","3,791",32,0,"2,970","1,222",821,0,0,63,93,63,68,57,0,0,0,0,58,45,75,58,145,23,22,0,0,0,51,0,"3,770",260,294,247,286,246,251,249,260,250,246,250,250,189,243,249,"3,227",0,"1,299",996,0,932,6,0,4,2,25,4,11,10,0,0,"19,293"
25-Apr-18,"3,428","3,723",32,0,"3,031","1,216",821,0,0,63,93,63,68,57,0,0,0,0,58,45,75,58,145,23,22,0,0,0,51,0,"3,811",260,294,247,286,246,251,249,269,260,246,260,250,189,256,248,"3,222",0,"1,298",995,0,929,6,0,4,2,25,4,11,10,0,0,"19,315"
26-Apr-18,"3,417","3,756",32,0,"3,025","1,222",824,0,0,63,91,64,68,57,0,0,0,0,59,47,75,58,145,23,22,0,0,0,52,0,"3,815",260,294,257,287,245,251,249,269,258,246,260,249,189,254,247,"3,222",0,"1,299",994,0,929,6,0,4,2,25,4,11,10,0,0,"19,344"
