Location,Mississippi State Penitentiary,Central Mississippi Correctional Facility,Youthful Offender Unit,CMCF TVC,South Mississippi Correctional Institution,County Jails,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Delta Satellite Facility,Delta TVC,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore TVC,Leflore TVC Support,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Rankin RID,Flowood TVC,Simpson TVC,Simpson TVC Support,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Washington County,Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,TRANSITIONAL HOUSING,Madison,Noxubee,Rankin/Flowood,Washington,Wilkinson,TOTALS,10/15/2018 - Capacity  change from 24
Capacity 1-Oct-18,"3,560","4,131",58,0,"3,082","1,781","1,512",0,0,124,300,96,102,102,0,0,82,0,62,58,93,93,178,28,50,82,0,0,62,0,"4,556",300,369,280,310,342,280,274,280,355,280,280,326,300,280,300,"5,472",472,"1,500","1,000","1,500","1,000",10,0,6,4,122,40,34,8,42,40,"24,284",334 to 24
,"3,277","3,785",38,0,"3,061","1,284","1,038",0,0,79,279,65,70,53,0,0,0,0,66,45,72,53,158,21,25,0,0,0,52,0,"3,681",240,293,268,239,198,200,265,269,259,267,271,200,200,270,242,"3,236",0,"1,299","1,000",0,937,6,0,3,3,36,2,25,8,0,1,"19,442",326; CMCF from 4
2-Oct-18,"3,281","3,797",38,0,"3,045","1,279","1,044",0,0,79,277,56,70,53,0,0,0,0,77,44,74,53,157,21,31,0,0,0,52,0,"3,667",240,292,268,239,197,198,261,268,258,265,271,200,200,268,242,"3,234",0,"1,297","1,000",0,937,6,0,3,3,35,2,24,8,0,1,"19,426","129"""
3-Oct-18,"3,293","3,776",38,0,"3,059","1,302","1,055",0,0,79,289,56,70,53,0,0,0,0,77,44,74,53,157,21,31,0,0,0,51,0,"3,668",240,291,268,239,197,198,261,270,260,264,271,200,200,267,242,"3,231",0,"1,296",999,0,936,6,0,3,3,35,2,24,8,0,1,"19,463",
4-Oct-18,"3,278","3,780",38,0,"3,063","1,316","1,050",0,0,79,286,56,69,53,0,0,0,0,77,44,74,52,156,20,29,0,0,0,55,0,"3,675",240,291,268,240,197,200,266,269,260,264,271,200,200,267,242,"3,227",0,"1,294",998,0,935,6,0,3,3,35,2,23,9,0,1,"19,468",
5-Oct-18,"3,274","3,804",32,0,"3,063","1,371","1,033",0,0,77,286,56,67,52,0,0,0,0,74,42,75,52,150,20,29,0,0,0,53,0,"3,684",240,294,270,240,197,200,270,269,259,263,270,200,200,270,242,"3,230",0,"1,294","1,001",0,935,5,0,2,3,35,2,23,9,0,1,"19,531",
6-Oct-18,"3,273","3,803",32,0,"3,061","1,371","1,033",0,0,77,286,56,67,52,0,0,0,0,74,42,75,52,150,20,29,0,0,0,53,0,"3,684",240,294,270,240,197,200,270,269,259,263,270,200,200,270,242,"3,226",0,"1,293","1,000",0,933,5,0,2,3,35,2,23,9,0,1,"19,523",
7-Oct-18,"3,273","3,801",32,0,"3,061","1,371","1,033",0,0,77,286,56,67,52,0,0,0,0,74,42,75,52,150,20,29,0,0,0,53,0,"3,684",240,294,270,240,197,200,270,269,259,263,270,200,200,270,242,"3,226",0,"1,293","1,000",0,933,5,0,2,3,35,2,23,9,0,1,"19,521",
8-Oct-18,"3,267","3,823",32,0,"3,062","1,366","1,040",0,0,79,284,56,68,53,0,0,0,0,75,44,75,50,154,20,29,0,0,0,53,0,"3,682",240,294,269,240,284,200,270,269,258,268,269,112,200,269,240,"3,283",0,"1,292",999,0,992,7,0,4,3,33,2,23,7,0,1,"19,595",
9-Oct-18,"3,267","3,823",32,0,"3,062","1,407","1,040",0,0,79,284,56,68,53,0,0,0,0,75,44,75,50,154,20,29,0,0,0,53,0,"3,682",240,294,269,240,284,200,270,269,258,268,269,112,200,269,240,"3,283",0,"1,292",999,0,992,7,0,4,3,33,2,23,7,0,1,"19,636",
10-Oct-18,"3,264","3,867",32,0,"3,060","1,356","1,041",0,0,79,285,56,68,53,0,0,0,0,75,44,75,50,154,20,29,0,0,0,53,0,"3,678",240,294,268,240,283,200,268,268,256,267,268,112,206,268,240,"3,217",0,"1,289",998,0,930,7,0,4,3,38,2,28,7,0,1,"19,560",
11-Oct-18,"3,286","3,848",32,0,"3,058","1,377","1,036",0,0,81,285,56,69,53,0,0,0,0,72,42,70,51,159,20,28,0,0,0,50,0,"3,667",240,291,267,239,283,199,266,267,256,267,267,112,205,268,240,"3,216",0,"1,290",997,0,929,7,0,4,3,38,2,27,8,0,1,"19,565",
