"STATUS","NO. OF OFFENDERS","% of TOTAL OFFENDERS"
"Probation","9,398","20.22%"
"Probation - Compact","1,326","2.85%"
"Probation - Nonadjudicated","4,589","9.88%"
"Probation - Post Release","18,734","40.31%"
"TVC Probation","145","0.31%"
"PROBATION TOTAL","34,192","73.58%"
"Parole","9,188","19.77%"
"Parole - Compact","526","1.13%"
"Parole - Suspension","0","0.00%"
"TVC Parole","283","0.61%"
"PAROLE TOTAL","9,997","21.51%"
"Intensive Supervision Program - Court","1,008","2.17%"
"Intensive Supervision Program - Prison","249","0.54%"
"Earned Release Supervision","1,005","2.16%"
"Medical Release","19","0.04%"
"COMMUNITY INMATE TOTAL","2,281","6.69%"
"TOTAL","46,470","100.00%"
