"STATUS","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Probation","5,354","15.76%"
"Probation - Compact","1,380","4.06%"
"Probation - Nonadjudicated","3,272","9.63%"
"Probation - Post Release","13,470","39.66%"
"TVC Probation","102","0.30%"
"PROBATION TOTAL","23,578","69.42%"
"Parole","8,187","24.11%"
"Parole - Compact","601","1.77%"
"Parole - Suspension","0","0.00%"
"TVC Parole","257","0.76%"
"PAROLE TOTAL","9,045","26.63%"
"Intensive Supervision Program - Court","708","2.08%"
"Intensive Supervision Program - Prison","36","0.11%"
"Earned Release Supervision","571","1.68%"
"Medical Release","16","0.05%"
"FTR- Monitoring","6","0.02%"
"Conditional Release","3","0.009%"
"COMMUNITY INMATE TOTAL","1,340","3.95%"
"TOTAL","33,963","100.00%"
