"STATUS","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Probation","10,808","34.07%"
"Probation - Compact","1,243","3.92%"
"Probation - Nonadjudicated","3,415","10.76%"
"Probation - Post Release","8,920","28.12%"
"PROBATION TOTAL","24,386","76.87%"
"Parole","4,102","12.93%"
"Parole - Compact","435","1.37%"
"Parole - Suspension","0","0.00%"
"PAROLE TOTAL","4,537","14.30%"
"Intensive Supervision Program - Court","975","3.07%"
"Intensive Supervision Program - Prison","180","0.57%"
"Earned Release Supervision","1,608","5.07%"
"Medical Release","38","0.12%"
"COMMUNITY INMATE TOTAL","2,801","8.83%"
"TOTAL","31,724","100.00%"
