"status","count","percent_of_total"
"Probation","14327","46.21%"
"Probation - Compact","1138","3.67%"
"Probation - Nonadjudicated","2684","8.66%"
"Probation - Post Release","7311","23.58%"
"PROBATION TOTAL","25460","82.11%"
"Parole","1939","6.25%"
"Parole - Compact","436","1.41%"
"Parole - Suspension","0","0.00%"
"PAROLE TOTAL","2375","7.66%"
"Intensive Supervision Program - Court","1223","3.94%"
"Intensive Supervision Program - Prison","232","0.75%"
"Earned Release Supervision","1707","5.51%"
"Medical Release","9","0.03%"
"COMMUNITY INMATE TOTAL","3171","10.23%"
"TOTAL","31006","100.00%"
