type,count,percent_of_total
probation,5443,15.96%
compact_probation,1338,3.92%
nonadjudicated,3287,9.64%
post_release,13641,40.00%
TVC_probation,109,0.32%
probation_total,23818,69.84%
parole,8132,23.84%
compact_parole,593,1.74%
suspension,0,0.00%
TVC_parole,220,0.65%
parole_total,8945,26.23%
ISP_court,672,1.97%
ISP_prison,33,0.10%
earned_release_supervision,614,1.80%
medical_release,15,0.04%
FTR_monitoring,5,0.01%
conditional_release,3,0.009%
community_inmate_total,1342,3.93%
total,34105,100.00%
