status,count,percent_of_total
"Probation","5,730","16.13%"
"Probation - Compact","1,283","3.61%"
"Probation - Nonadjudicated","3,564","10.04%"
"Probation - Post Release","13,974","39.35%"
"TVC Probation","105","0.30%"
"PROBATION TOTAL","24,656","69.42%"
"Parole","8,700","24.50%"
"Parole - Compact","524","1.48%"
"Parole - Suspension","0","0.00%"
"TVC Parole","168","0.47%"
"PAROLE TOTAL","9,392","26.45%"
"Intensive Supervision Program - Court","782","2.20%"
"Intensive Supervision Program - Prison","74","0.21%"
"Earned Release Supervision","588","1.66%"
"Medical Release","14","0.04%"
"FTR- Monitoring","6","0.02%"
"Conditional Release","3","0.008%"
"COMMUNITY INMATE TOTAL","1,467","4.13%"
"TOTAL","35,515","100.00%"
