"location","capacity","count","percent_of_total"
"Mississippi State Penitentiary","4892","4800","34.76%"
"Central Mississippi Correctional Facility","3233","3154","22.84%"
"South Mississippi Correctional Institution","2214","2170","15.72%"
"County Jails - Approved*","2209","1723","12.48%"
"County Jails - Unapproved**","0","253","1.83%"
"Community Work Centers","1816","1708","12.37%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","14364","13808","100.00%"
"Bolivar County Correctional Facility","250","248","9.07%"
"Carroll County Correctional Facility","250","248","9.07%"
"George County Correctional Facility","250","249","9.11%"
"Holmes County Correctional Facility","250","249","9.11%"
"Issaquena County Correctional Facility","250","247","9.03%"
"Jefferson County Correctional Facility","250","249","9.11%"
"Kemper County Correctional Facility","250","250","9.14%"
"Leake Correctional Facility","250","248","9.07%"
"Marion County Correctional Facility","250","247","9.03%"
"Stone County Correctional Facility","250","250","9.14%"
"Winston County Correctional Facility","250","249","9.11%"
"Regional Facilities","2750","2734","100.00%"
"Delta Correctional Facility","960","957","20.71%"
"East MS Correctional Facility","1000","871","18.84%"
"Marshall County Correctional Facility","1000","992","21.46%"
"Walnut Grove Correctional Facility","1000","806","17.44%"
"Wilkinson County Correctional Facility","1000","996","21.55%"
"TOTAL PRIVATE PRISONS","4960","4622","100.00%"
"Community Trusties","24","18","0.07%"
"Emergency Suspension","0","0","0.00%"
"Court Order","00","00","0.00%"
"Pending File Review","0","178","0.73%"
"TOTAL CAPACITY & CUSTODY POPULATION","22098","21360","87.61%"
"Intensive Supervision Program","0","1270","5.21%"
"Earned Release Supervision Program","0","1431","5.87%"
"Medical Release","0","3","0.01%"
"Community Corrections","0","2704","11.09%"
"Other Custody","0","240","0.98%"
"Off-Grounds Medical (Hospital)","0","7","0.03%"
"At Large (Escapees & Walk-Aways)","0","70","0.29%"
"TOTAL","22098","24381","100.00%"
