"location","capacity","count","percent_of_total"
"Mississippi State Penitentiary","4435","3920","29.82%"
"Central Mississippi Correctional Facility","3665","3200","24.35%"
"South Mississippi Correctional Institution","3204","2964","22.55%"
"County Jails - Approved*","1486","1112","8.46%"
"County Jails - Unapproved**","0","159","1.21%"
"Community Work Centers","1848","1789","13.61%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","14638","13144","100.00%"
"Bolivar County Correctional Facility","294","263","9.39%"
"Carroll County Correctional Facility","280","249","8.89%"
"George County Correctional Facility","280","246","8.79%"
"Holmes County Correctional Facility","280","243","8.68%"
"Issaquena County Correctional Facility","274","243","8.68%"
"Jefferson County Correctional Facility","280","249","8.89%"
"Kemper County Correctional Facility","355","315","11.25%"
"Leake County Correctional Facility","280","247","8.82%"
"Marion County Correctional Facility","280","246","8.79%"
"Stone County Correctional Facility","280","250","8.93%"
"Winston County Correctional Facility","280","249","8.89%"
"TOTAL REGIONAL FACILITIES","3163","2800","100.00%"
"Delta Correctional Facility","972","896","16.99%"
"East MS Correctional Facility","1500","1311","24.85%"
"Marshall County Correctional Facility","1000","913","17.31%"
"Walnut Grove Correctional Facility","1500","1205","22.84%"
"Wilkinson County Correctional Facility","1000","950","18.01%"
"TOTAL PRIVATE PRISONS","5972","5275","100.00%"
"Community Trusties","022","16","0.06%"
"Emergency Suspension","0","0","0.00%"
"Pending File Review","0","83","0.33%"
"Court Order","0","203","0.82%"
"TOTAL CAPACITY & CUSTODY POPULATION","23795","21521","86.80%"
"Intensive Supervision Program","0","1413","5.70%"
"Earned Release Supervision Program","00","1415","5.71%"
"Medical Release","0","35","0.14%"
"TOTAL COMMUNITY CORRECTIONS","00","2863","11.55%"
"Other Custody","0","354","1.43%"
"Off-Grounds Medical (Hospital)","0","10","0.04%"
"At Large (Escapees & Walk-Aways)","0","45","0.18%"
"TOTAL","23795","24793","100.00%"
