"location","drug_offenses","property_offenses","violent_offenses","total"
"MSP","1345","1262","2486","5093"
"CMCF","1041","1017","870","2928"
"SMCI","624","700","676","2000"
"County Jails (approved)","783","697","268","1748"
"County Jails (unapproved)","68","92","30","190"
"Private Prisons","977","1033","2012","4022"
"Regional Correctional Facilities","801","491","746","2038"
"Community Work Centers","639","632","40","1311"
"Community Trusties","8","6","5","19"
"CUSTODY POPULATION","6286","5930","7133","19349"
"Intensive Supervison Program","383","1037","31","1451"
"Earned Release Supervision","415","520","145","1080"
"Medical Release","0","0","0","0"
"Other Custody","62","95","73","230"
"At Large","9","26","48","83"
"University of MS Medical Center","1","6","59","12"
"TOTAL","7173","7636","7396","22205"
"% of Total Offenses","32.30%","34.39%","33.31%","100.00%"
