"LOCATION","DRUG OFFENSES","PROPERTY OFFENSES","VIOLENT OFFENSES","TOTAL"
"MSP","1,272","971","2,175","4,418"
"CMCF","1,226","1,197","1,033","3,456"
"SMCI","999","789","1,010","2,798"
"County Jails (approved)","745","456","134","1,335"
"County Jails (unapproved)","110","82","50","242"
"Private Prisons","1,007","1,095","2,664","4,766"
"Regional Correctional Facilities","969","576","1,475","3,020"
"Community Work Centers","1,167","546","5","1,718"
"Community Trusties","8","5","5","18"
"Pending File Review","48","29","32","109"
"Court Order","146","125","54","325"
"TOTAL CUSTODY POPULATION","7,697","5,871","8,637","22,205"
"Intensive Supervison Program","449","657","32","1,138"
"Earned Release Supervision","695","608","391","1,694"
"Medical Release","6","4","3","13"
"Other Custody","142","97","76","315"
"At Large","20","41","16","77"
"Off-Grounds Medical (Hospital)","1","3","6","10"
