"LOCATION","DRUG OFFENSES","PROPERTY OFFENSES","VIOLENT OFFENSES","SEX OFFENSES","TOTAL"
"MSP","827","675","1,561","483","3,546"
"CMCF","963","930","1,009","321","3,223"
"SMCI","908","813","1,014","406","3,141"
"County Jails (approved)","564","378","59","20","1,021"
"County Jails (unapproved)","79","86","31","12","208"
"Private Prisons","752","1,112","2,665","773","5,302"
"Regional Correctional Facilities","525","454","1,043","507","2,529"
"Community Work Centers","1,021","552","13","0","1,586"
"Community Trusties","7","1","6","0","14"
"Pending File Review","72","56","10","2","140"
"Court Order","102","94","55","14","265"
"TOTAL CUSTODY POPULATION","5,820","5,151","7,466","2,538","20,975"
"Intensive Supervison Program","756","731","45","5","1,537"
"Earned Release Supervision","367","497","575","6","1,445"
"Medical Release","24","12","7","0","43"
"Other Custody","139","124","80","12","355"
"At Large","11","23","8","0","42"
"Off-Grounds Medical (Hospital)","0","4","4","4","12"
"TOTAL","7,117","6,542","8,185","2,565","24,409"
"% OF TOTAL OFFENSES","29.16%","26.80%","33.53%","10.51%","100.00%"
