"location","drug_offenses","property_offenses","violent_offenses","sex_offenses","total"
"MSP","794","640","1482","482","3398"
"CMCF","982","970","1021","342","3315"
"SMCI","887","776","1055","413","3131"
"County Jails (approved)","577","371","53","18","1019"
"County Jails (unapproved)","109","120","45","7","281"
"Private Prisons","742","1097","2684","791","5314"
"Regional Correctional Facilities","515","459","1049","496","2519"
"Community Work Centers","1046","581","13","0","1640"
"Community Trusties","5","1","6","0","12"
"Pending File Review","33","37","8","1","79"
"Court Order","105","78","46","14","243"
"TOTAL CUSTODY POPULATION","5795","5130","7462","2564","20951"
"Intensive Supervison Program","774","734","45","6","1559"
"Earned Release Supervision","345","504","601","6","1456"
"Medical Release","23","14","7","0","44"
"Other Custody","140","129","78","12","359"
"At Large","11","24","8","0","43"
"Off-Grounds Medical (Hospital)","2","2","4","0","8"
"TOTAL","7090","6537","8205","2588","24420"
"% OF TOTAL_offenses","29.03%","26.77%","33.60%","10.60%","100.00%"
