"location","drug_offenses","property_offenses","agg_assault_offenses","violent_offenses","sex_offenses","total"
"MSP","769","768","170","1177","492","3376"
"CMCF","941","1029","168","797","334","3269"
"SMCI","650","817","174","1024","534","3199"
"County Jails (approved)","758","658","21","60","24","1521"
"Youthful Offender Facility","0","6","1","24","6","37"
"County Jails (unapproved)","109","122","13","32","16","292"
"Private Prisons","537","913","290","2061","614","4415"
"Regional Correctional Facilities","945","1096","319","1256","809","4425"
"Community Work Centers","824","557","3","1","0","1385"
"Community Trusties","8","1","0","0","0","9"
"Pending File Review","19","16","1","2","0","38"
"Court Order","130","159","16","47","13","365"
"TOTAL CUSTODY POPULATION","5690","6142","1176","6481","2842","22331"
"% OF TOTAL_offenses","25.48%","27.50%","5.27%","29.02%","12.73%","100.00%"
"Intensive Supervison Program","690","799","11","42","7","1549"
"Earned Release Supervision","493","573","195","382","9","1652"
"Medical Release","12","6","1","4","0","23"
"Other Custody","201","176","11","74","5","487"
"At Large","7","17","0","7","0","31"
"Off-Grounds Medical (Hospital)","1","2","1","2","3","9"
"TOTAL","7094","7715","1395","6992","2886","26082"
"% OF TOTAL_offenses","27.20%","29.58%","5.35%","26.81%","11.07%","100.00%"
