"location","black_male","black_female","white_male","white_female","hispanic_male","hispanic_female","native_american_male","native_american_female","asian_male","asian_female","unknown_male","unknown_female","total"
"MSP","3234","0","1198","0","34","0","1","0","5","0","1","0","4473"
"CMCF","1035","729","652","638","13","7","3","1","0","4","1","0","3083"
"SMCI","1228","0","663","0","18","0","4","0","6","0","1","0","1920"
"County Jails (approved)","676","58","463","73","9","1","0","0","2","0","4","2","1288"
"County Jails (unapproved)","75","7","44","16","1","1","0","0","0","0","2","1","147"
"Private Prisons","3709","0","1140","0","20","0","10","0","8","0","2","0","4889"
"Regional Correctional Facilities","2230","0","780","0","19","0","2","0","6","0","1","0","3038"
"Community Work Centers","1009","113","513","98","14","2","1","1","2","0","1","0","1754"
"Community Trusties","13","0","7","0","0","0","0","0","0","0","0","0","20"
"Pending File Review","10","2","6","3","0","0","0","0","0","0","1","0","22"
"Court Order","171","12","126","30","0","1","1","0","0","0","0","0","341"
"CUSTODY POPULATION","13390","921","5592","858","128","12","22","2","29","4","14","3","20975"
"Intensive Supervison Program","640","152","553","201","5","1","0","0","1","0","10","2","1565"
"Earned Release Supervision","1050","88","430","91","4","1","2","0","1","0","0","0","1667"
"Medical Release","5","0","4","0","0","0","0","0","0","0","0","0","9"
"Other Custody","139","9","127","14","25","0","0","0","2","0","2","0","318"
"At Large","82","6","35","3","4","0","0","0","0","0","1","0","131"
"Off-Grounds Medical (Hospital)","2","0","4","1","0","0","0","0","0","0","0","0","7"
"TOTAL","15308","1176","6745","1168","166","14","24","2","33","4","27","5","24672"
"% OF TOTAL_offenses","62.05%","4.77%","27.34%","4.73%","0.67%","0.06%","0.10%","0.01%","0.13%","0.02%","0.11%","0.02%","100.00%"
