"LOCATION","CAPACITY","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Mississippi State Penitentiary","3,590","3,261","15.50%"
"Central Mississippi Correctional Facility","3,750","3,539","16.82%"
"South Mississippi Correctional Institution","3,082","2,654","12.61%"
"Youthful Offender Facility","58","35","0.17%"
"County Jails - Approved","1,781","754","3.58%"
"County Jails - Unapproved","0","379","1.80%"
"Community Work Centers","1,154","665","3.16%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","13,415","11,287","53.64%"
"Alcorn County Correctional Facility","300","301","1.43%"
"Bolivar County Correctional Facility","369","291","1.38%"
"Carroll County Correctional Facility","280","274","1.30%"
"Chickasaw County Correctional Facility","310","310","1.47%"
"George County Correctional Facility","280","333","1.58%"
"Holmes County Correctional Facility","280","269","1.28%"
"Issaquena County Correctional Facility","274","273","1.30%"
"Jefferson County Correctional Facility","280","281","1.34%"
"Kemper County Correctional Facility","355","346","1.64%"
"Leake County Correctional Facility","280","263","1.25%"
"Marion County Correctional Facility","280","280","1.33%"
"Stone County Correctional Facility","326","275","1.31%"
"Washington County Correctional Facility","300","170","0.81%"
"Winston County Correctional Facility","280","268","1.27%"
"Yazoo County Correctional Facility","300","288","1.37%"
"TOTAL REGIONAL FACILITIES","4,494","4,222","20.06%"
"Delta Correctional Facility","972","0","0.00%"
"East MS Correctional Facility","1,500","1,188","5.65%"
"Marshall County Correctional Facility","1,000","995","4.73%"
"Walnut Grove Correctional Facility","1,500","0","0.00%"
"Wilkinson County Correctional Facility","1,000","940","4.47%"
"TOTAL PRIVATE PRISONS","5,972","3,123","14.84%"
