"LOCATION","DRUG OFFENSES","PROPERTY OFFENSES","VIOLENT OFFENSES","TOTAL"
"MSP","796","781","1,292","464"
"CMCF","862","1,091","887","325"
"SMCI","739","910","1,072","478"
"County Jails (approved)","714","567","53","25"
"County Jails (unapproved)","106","152","38","20"
"Private Prisons","431","903","2,278","662"
"Regional Correctional Facilities","971","1,199","1,390","772"
"Community Work Centers","1,024","581","6","0"
"Community Trusties","4","0","0"
"Pending File Review","8 9","28","15","2"
"Court Order","104","135","53","15"
"TOTAL CUSTODY POPULATION","5,764","6,351","7,084","2,763"
"Intensive Supervison Program","776","730","43"
"Earned Release Supervision","483","567","557","8 5"
"Medical Release","11","6","5"
"Other Custody","198","160","73","0 1
8"
