"LOCATION","DRUG OFFENSES","PROPERTY OFFENSES","VIOLENT OFFENSES","TOTAL"
"MSP","1,309","1,804","2,591","5,704"
"CMCF","1,011","1,294","926","3,231"
"SMCI","366","451","527","1,344"
"County Jails (approved)","783","833","277","1,893"
"County Jails (unapproved)","78","125","46","249"
"Private Prisons","683","1,149","1,602","3,434"
"Regional Correctional Facilities","901","763","1,082","2,746"
"Community Work Centers","893","741","4","1,638"
"Community Trusties","10","7","5","22"
"CUSTODY POPULATION","6,034","7,167","7,060","20,261"
"Intensive Supervison Program","436","805","40","1,281"
"Earned Release Supervision","531","503","190","1,224"
"Medical Release","0","0","0","0"
"Other Custody/At Large","79","115","72","266"
"TOTAL","7,080","8,590","7,362","23,032"
"% of Total Offenses","30.74%","37.30%","31.96%","100.00%"
