"BY OFFENSE AND LOCATION","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","AGGRAVATED","","","","","","","","","","",""
"","","","DRUG","","PROPERTY","","","ASSUALT","","","VIOLENT","","","SEX","","","","",""
"LOCATION","","","OFFENSES","","OFFENSES","","","OFFENSES","","","OFFENSES","","","OFFENSES","","","","TOTAL",""
"MSP","","","592","","536","","","174","","","1,289","","","497","","","","3,088",""
"CMCF","","","543","","598","","","103","","","759","","","263","","","","2,266",""
"SMCI","","","452","","564","","","127","","","880","","","458","","","","2,481",""
"County Jails (approved)","","","500","","264","","","20","","","66","","","","","","","856",""
"Youthful Offender Facility","","","1","","1","","","2","","","13","","","","","","","20",""
"County Jails (unapproved)","","","103","","145","","","24","","","37","","","17","","","","326",""
"Private Prisons","","","451","","545","","","286","","","2,024","","","662","","","","3,968",""
"Regional Correctional Facilities","","","709","","730","","","355","","","1,481","","","864","","","","4,139",""
"Community Work Centers","","","665","","397","","","2","","","12","","","0","","","","1,076",""
"Community Trusties","","","12","","","","","0","","","0","","","0","","","","16",""
"Pending File Review","","","15","","8","","","2","","","10","","","3","","","","68",""
"Court Order","","","74","","87","","","10","","","40","","","9","","","","220",""
"TOTAL CUSTODY POPULATION","","","4,117","","3,909","","","1,105","","","6,611","","","2,782","","","","18,524",""
"% OF TOTAL OFFENSES","","","22.23%","","21.10%","","","5.97%","","","35.69%","","","15.02%","","","","100.00%",""
"Intensive Supervison Program","","","473","","612","","","10","","","45","","","5","","","","1,145",""
"Earned Release Supervision","","","251","","91","","","151","","","382","","","8","","","","883",""
"Medical Release","","","9","","6","","","0","","","2","","","","","","","17",""
"Other Custody","","","196","","210","","","15","","","83","","","5","","","","529",""
"At Large","","","","","4","","","0","","","7","","","0","","","","27",""
"Off-Grounds Medical (Hospital)","","","","","","","","1","","","3","","","1","","","","9",""
"TOTAL","","","5,054","","4,844","","","1,282","","","7,133","","","2,821","","","","21,134",""
"% OF TOTAL OFFENSES","","","23.92%","","22.92%","","","6.07%","","","33.75%","","","13.35%","","","","100.00%","6 2
4 3
21
0 2
6 3"
