"LOCATION","DRUG OFFENSES","NON-VIOLENT OFFENSES","SEX OFFENSES","VIOLENT OFFENSES","TOTAL"
"MSP","372","391","552","1,897","3,212"
"CMCF","960","937","350","1,421","3,668"
"SMCI","468","411","486","1,278","2,643"
"Youthful Offender Facility","0","7","2","18","27"
"County Jails (approved)","377","167","6","165","715"
"County Jails (unapproved)","123","143","21","83","370"
"Private Prisons","255","247","546","2,132","3,180"
"Regional Correctional Facilities","728","560","850","2,140","4,278"
"Community Work Centers","379","134","0","106","619"
"Community Trusties","6","0","0","1","7"
"Pending File Review","49","42","7","41","139"
"Court Order","92","87","14","91","284"
"Transitional Housing","8","8","1","8","25"
"RRP","23","35","0","9","67"
"TVC","48","12","0","13","73"
"TOTAL CUSTODY POPULATION","3,888","3,181","2,835","9,403","19,307"
"% OF TOTAL OFFENSES","20.14%","16.48%","14.68%","48.70%","100.00%"
"Intensive Supervison Program","330","395","7","91","823"
"Earned Release Supervision","44","34","11","486","575"
"Medical Release","8","1","0","4","13"
"Other Custody","162","174","26","125","487"
"At Large","6","11","0","7","24"
"Conditional Release","0","0","0","2","2"
"FTR- Monitoring","2","3","1","0","6"
"Off-Grounds Medical (Hospital)","0","1","3","2","6"
"TOTAL","4,440","3,800","2,883","10,120","21,243"
"% OF TOTAL OFFENSES","20.90%","17.89%","13.57%","47.64%","100.00%"
