"INMATE STATISTICS (continued)","","","","","","","","","","","","","","","","",""
"","","% OF","","","","","","","% OF","","","","","","","","% OF"
"","","TOTAL MALE","","","","","","","TOTAL FEMALE","","","","NO. OF","","","","TOTAL"
"RACE
MALE","","POPULATION","","","","FEMALE","","","POPULATION","","","","OFFENDERS","","","","OFFENDERS"
"Black
12,829","","66.51%","","","","718","","","42.64%","","","","13,547","","","","64.60%"
"White
6,199","","32.14%","","","","943","","","56.00%","","","","7,142","","","","34.05%"
"Hispanic
183","",".95%","","","","16","","",".95%","","","","199","","","",".95%"
"Native American
30","",".16%","","","","","","",".30%","","","","35","","","",".17%"
"Asian
41","",".21%","","","","","","",".12%","","","","43","","","",".21%"
"Data Unavailable
6","",".03%","","","","0","","",".00%","","","","6","","","",".03%"
"TOTAL
19,288","","100.00%","","","","1,684","","","100.00%","","","","20,972","","","","100.00%"
