"BY RACE/SEX AND LOCATION","","","","",""
"% OF","","","% OF","","% OF"
"TOTAL MALE","","","TOTAL FEMALE","NO. OF","TOTAL"
"RACE
MALE
POPULATION","","FEMALE","POPULATION","OFFENDERS","OFFENDERS"
"Black
12,308
64.40%","","615","36.41%","12,923","62.13%"
"White
6,531
34.17%","","1,051","62.23%","7,582","36.45%"
"Hispanic
200
1.05%","","12",".71%","212","1.02%"
"Native American
27
.14%","","6",".36%","33",".16%"
"Asian
37
.19%","","4",".24%","41",".20%"
"Data Unavailable
8
.04%","","1",".06%","9",".04%"
"TOTAL
19,111
100.00%","","1,689","100.00%","20,800","00
100.00%"
