"LOCATION","DRUG OFFENSES","PROPERTY OFFENSES","VIOLENT OFFENSES","TOTAL"
"MSP","1,191","921","2,047","4,159"
"CMCF","1,346","1,176","1,210","3,732"
"SMCI","1,191","839","1,057","3,087"
"County Jails (approved)","784","494","150","1,428"
"County Jails (unapproved)","89","94","44","227"
"Private Prisons","1,022","1,017","2,770","4,809"
"Regional Correctional Facilities","1,042","571","1,465","3,078"
"Community Work Centers","1,217","562","0","1,779"
"Community Trusties","8","3","6","17"
"Pending File Review","20","13","11","44"
"Court Order","171","140","68","379"
"TOTAL CUSTODY POPULATION","8,081","5,830","8,828","22,739"
"Intensive Supervison Program","483","655","28","1,166"
"Earned Release Supervision","748","622","404","1,774"
"Medical Release","7","4","4","15"
"Other Custody","122","99","79","300"
"At Large","19","32","12","63"
"Off-Grounds Medical (Hospital)","2","2","2","6"
