"LOCATION","DRUG OFFENSES","PROPERTY OFFENSES","AGGREVATED VIOLENTOFFENSES","SEX OFFENSES","TOTAL"
"MSP","628","529","186","1,394","532","3,269"
"CMCF","570","721","146","795","261","2,493"
"SMCI","490","554","160","1,037","491","2,732"
"County Jails (approved)","418","240","14","51","7","730"
"Youthful Offender Facility","0","2","4","17","6","29"
"County Jails (unapproved)","96","144","13","44","9","306"
"Private Prisons","500","555","272","1,927","678","3,932"
"Regional Correctional Facilities","712","751","287","1,423","783","3,956"
"Community Work Centers","623","279","1","38","0","941"
"Community Trusties","13","3","0","0","0","16"
"Pending File Review","35","3","6","15","1","90"
"Court Order","73","95","18","59","12","257"
"TOTAL CUSTODY POPULATION","4,158","3,906","1,107","6,800","2,780","18,751"
"% OF TOTAL OFFENSES","22.17%","20.83%","5.90%","36.26%","14.83%","100.00%"
"Intensive Supervison Program","354","390","6","55","5","810"
"Earned Release Supervision","263","58","139","371","3","834"
"Medical Release","6","4","0","2","0","12"
"Other Custody","182","216","17","86","26","527"
"At Large","6","14","0","6","0","26"
"Off-Grounds Medical (Hospital)","2","4","0","4","0","10"
"Conditional Release","0","0","0","2","0","2"
"TOTAL","4,971","4,592","1,269","7,326","2,814","20,972"
"% OF TOTAL OFFENSES","23.70%","21.90%","6.05%","34.93%","13.42%","100.00%"
