"ACTIVE CASELOADS","",""
"","NO. OF","% of TOTAL"
"STATUS","OFFENDERS","OFFENDERS"
"Probation","10,987","57.28%"
"Compact Probation","1,069","5.57%"
"Nonadjudicated","1,872","9.76%"
"Post Release","1,484","7.74%"
"","15,412","80.35% Probation Total"
"Parole","1,239","6.46%"
"Compact Parole","418","2.18%"
"Suspension","9","0.05%"
"","1,666","8.69% Parole Total"
"Intensive Supervision Program - Court","825","4.30%"
"Intensive Supervision Program - Prison","390","2.03%"
"Earned Release Supervision","887","4.62%"
"Medical Release","2","0.01%"
"","2,104","10.97% Community Inmate Total"
"TOTAL","19,182","100.00%"
