"LOCATION","CAPACITY","NO. OF OFFENDERS","% OF TOTAL OFFENDERS",""
"Mississippi State Penitentiary","5,551","5,298","41.14%",""
"Central Mississippi Correctional Facility","3,049","2,878","22.35%",""
"South Mississippi Correctional Institution","2,214","2,031","15.77%",""
"County Jails - Approved*","2,137","1,370","10.64%",""
"County Jails - Unapproved**","0","19","0.15%",""
"Community Work Centers","1328","1,283","9.96%",""
"","14,279","12,879","100.00%","State, County Jails, & CWC Facilities"
"Regional Correctional Facilities","","","",""
"Bolivar County Correctional Facility","250","1","0.05%",""
"Carroll County Correctional Facility","250","235","11.86%",""
"Holmes County Correctional Facility","250","212","10.70%",""
"Issaquena County Correctional Facility","250","213","10.75%",""
"Jefferson County Correctional Facility","250","231","11.66%",""
"Kemper County Correctional Facility","250","232","11.71%",""
"Leake Correctional Facility","250","213","10.75%",""
"Marion County Correctional Facility","250","210","10.60%",""
"Stone County Correctional Facility","250","218","11.00%",""
"Winston County Correctional Facility","250","216","10.90%",""
"","2,500","1,981","100.00%","Regional Facilities"
"Private Prisons","","","",""
"Delta Correctional Facility","1,000","847","23.64%",""
"East MS Correctional Facility","500","502","14.01%",""
"Marshall County Correctional Facility","1,000","880","24.56%",""
"Walnut Grove Correctional Facility","500","472","13.17%",""
"Wilkinson County Correctional Facility","900","882","24.62%",""
"","3,900","3,583","100.00%","Private Prisons"
"Community Trusties","30","24","0.11%",""
"Emergency Suspension","","1","0.00%",""
"Court Order","","232","1.09%",""
"TOTAL CAPACITY & CUSTODY POPULATION","20,709","18,700","87.79%",""
"Intensive Supervision Program","","1,335","6.27%",""
"Earned Release Supervision Program","","981","4.61%",""
"Medical Release","0 0 0 0 0","1","0.00%",""
"","","2,317","10.88%","Community Corrections"
"Other Custody","","201","0.94%",""
"University of MS Medical Center","0","7","0.03%",""
"At Large (Escapees & Walk-Aways)","0","76","0.36%",""
"TOTAL","20,709","21,301","100.00%","00"
