"BY TYPE","","",""
"","NO. OF","% OF TOTAL",""
"","OFFENDERS","OFFENDERS",""
"INMATES","","",""
"Custody Population","18,938","48.26%",""
"Community Corrections (ERS, ISP, Medical Release)","2,497","6.36%",""
"Other Custody","218","0.56%",""
"At Large (Escapees & Walk-Aways)","91","0.23%",""
"University of MS Medical Center","7","0.02%",""
"","21,751","55.43%","Inmate Total"
"PAROLEES","1,801","4.59%",""
"PROBATIONERS","15,689","39.98%",""
"","17,490","44.57%","Parolees & Probationers Total"
"TOTAL INMATES, PAROLEES, & PROBATIONERS","39,241","100.00%",""
