"","","MISSISSIPPI DEPARTMENT OF CORRECTIONS","","",""
"","","MONTHLY FACT SHEET","","",""
"","","As of August 1, 2002","","",""
"STATUS","NO. OF OFFENDERS","% OF TOTAL OFFENDERS","","",""
"Probation","10,217","51.53%","","",""
"Compact Probation","1,034","5.21%","","",""
"Nonadjudicated","1,930","9.73%","","",""
"Post Release","2,271","11.45%","","",""
"","15,452","77.93%","Probation Total","",""
"Parole","1,474","7.43%","","",""
"Compact Parole","395","1.99%","","",""
"Suspension","8","0.04%","","",""
"","1,877","9.47%","Parole Total","",""
"Intensive Supervision Program - Court","1,183","5.97%","","",""
"Intensive Supervision Program - Prison","270","1.36%","","",""
"Earned Release Supervision","1,046","5.28%","","",""
"Medical Release","0","0.00%","","",""
"","2,499","12.60%","Community Inmate Total","",""
"TOTAL","19,828","100.00%","","",""
"PROBATION STATISTICS","","","","",""
"BY RACE AND SEX","","","","",""
"","% OF","","% OF","",""
"","TOTAL MALE","","TOTAL FEMALE","NO. OF","% OF TOTAL"
"RACE
MALE","POPULATION","FEMALE","POPULATION","OFFENDERS","OFFENDERS"
"Black
7,209","60.09%","1,929","55.85%","9,138","59.14%"
"White
4,657","38.81%","1,485","42.99%","6,142","39.75%"
"Hispanic
48","0.40%","14","0.41%","62","0.40%"
"Native American
29","0.24%","7","0.20%","36","0.23%"
"Asian
36","0.30%","19","0.55%","55","0.36%"
"Data Unavailable
19","0.16%","0","0.00%","19","0.12%"
"TOTAL
11,998","100.00%","3,454","100.00%","15,452","100.00%"
"BY OFFENSE","","","","",""
"NO. OF","% of TOTAL","","","",""
"OFFENSE
OFFENDERS","OFFENDERS","","","",""
"Violent
1,928","12.48%","","","",""
"Property
8,830","57.14%","","","",""
"Drug
4,694","30.38%","","","",""
"TOTAL
15,452","100.00%","","","",""
"PAROLE STATISTICS","","","","",""
"BY RACE AND SEX","","","","",""
"","% OF","","% OF","",""
"","TOTAL MALE","","TOTAL FEMALE","NO. OF","% OF TOTAL"
"RACE
MALE","POPULATION","FEMALE","POPULATION","OFFENDERS","OFFENDERS"
"Black
1,188","72.04%","128","56.14%","1,316","70.11%"
"White
448","27.17%","99","43.42%","547","29.14%"
"Hispanic
9","0.55%","","0.44%","10","0.53%"
"Native American
2","0.12%","1 0 0","0.00%","","0.11%"
"Asian
2","0.12%","","0.00%","22","0.11%"
"TOTAL
1,649","100.00%","228","100.00%","1,877","100.00%"
"BY OFFENSE","","","","",""
"NO. OF","% of TOTAL","","","",""
"OFFENSE
OFFENDERS","OFFENDERS","","","",""
"Violent
632","33.67%","","","",""
"Property
570","30.37%","","","",""
"Drug
675","35.96%","","","",""
"TOTAL
1,877","100.00%","","","",""
