"","","MISSISSIPPI DEPARTMENT OF CORRECTIONS","","",""
"","","MONTHLY FACT SHEET","","",""
"","","As of September 1, 2002","","",""
"COMMUNITY CORRECTIONS STATISTICS","","","","",""
"ACTIVE CASELOADS","","","","",""
"","NO. OF","% of TOTAL","","",""
"STATUS","OFFENDERS","OFFENDERS","","",""
"Probation","10,311","51.00%","","",""
"Compact Probation","1,040","5.14%","","",""
"Nonadjudicated","2,019","9.99%","","",""
"Post Release","2,434","12.04%","","",""
"","15,804","78.17%","Probation Total","",""
"Parole","1,480","7.32%","","",""
"Compact Parole","395","1.95%","","",""
"Suspension","8","0.04%","","",""
"","1,883","9.31%","Parole Total","",""
"Intensive Supervision Program - Court","1,168","5.78%","","",""
"Intensive Supervision Program - Prison","283","1.40%","","",""
"Earned Release Supervision","1,080","5.34%","","",""
"Medical Release","0","0.00%","","",""
"","2,531","12.52%","Community Inmate Total","",""
"TOTAL","20,218","100.00%","","",""
"PROBATION STATISTICS","","","","",""
"BY RACE AND SEX","","","","",""
"","% OF","","% OF","",""
"","TOTAL MALE","","TOTAL FEMALE","NO. OF","% OF TOTAL"
"RACE
MALE","POPULATION","FEMALE","POPULATION","OFFENDERS","OFFENDERS"
"Black
7,419","60.37%","1,959","55.75%","9,378","59.34%"
"White
4,741","38.58%","1,508","42.91%","6,249","39.54%"
"Hispanic
46","0.37%","15","0.43%","61","0.39%"
"Native American
25","0.20%","7","0.20%","32","0.20%"
"Asian
37","0.30%","25","0.71%","62","0.39%"
"Data Unavailable
22","0.18%","0","0.00%","22","0.14%"
"TOTAL
12,290","100.00%","3,514","100.00%","15,804","100.00%"
"BY OFFENSE","","","","",""
"NO. OF","% of TOTAL","","","",""
"OFFENSE
OFFENDERS","OFFENDERS","","","",""
"Violent 
1,949","12.33%","","","",""
"Property 
9,015","57.04%","","","",""
"Drug 
4,840","30.63%","","","",""
"TOTAL
15,804","100.00%","","","",""
"PAROLE STATISTICS","","","","",""
"BY RACE AND SEX","","","","",""
"","% OF","","% OF","",""
"","TOTAL MALE","","TOTAL FEMALE","NO. OF","% OF TOTAL"
"RACE
MALE","POPULATION","FEMALE","POPULATION","OFFENDERS","OFFENDERS"
"Black
1,180","71.43%","127","54.98%","1,307","69.41%"
"White
459","27.78%","102","44.16%","561","29.79%"
"Hispanic
9","0.54%","","0.43%","10","0.53%"
"Native American
2","0.12%","1 0 1","0.00%","","0.11%"
"Asian
2","0.12%","","0.43%","32","0.16%"
"TOTAL
1,652","100.00%","231","100.00%","1,883","100.00%"
"BY OFFENSE","","","","",""
"NO. OF","% of TOTAL","","","",""
"OFFENSE
OFFENDERS","OFFENDERS","","","",""
"Violent 
626","33.24%","","","",""
"Property 
583","30.96%","","","",""
"Drug 
674","35.79%","","","",""
"TOTAL
1,883","100.00%","","","",""
