"INMATES","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Custody Population","21,360","45.38%",""
"Community Corrections (ERS, ISP, Medical Release)","2,704","5.74%",""
"Other Custody","240","0.51%",""
"At Large (Escapees & Walk-Aways)","70","0.15%",""
"Off-Grounds Medical (Hospital)","7","0.01%",""
"","24,381","51.80%","Inmate Total"
"PAROLEES","2,067","4.39%",""
"PROBATIONERS","20,622","43.81%",""
"","22,689","48.20%","Parolees & Probationers Total"
"TOTAL INMATES, PAROLEES, & PROBATIONERS","47,070","100.00%",""
