"BY RACE AND SEX","","","","","","",""
"","","","% OF","","% OF","",""
"","","","TOTAL MALE","","TOTAL FEMALE","NO. OF","% OF TOTAL"
"RACE","MALE","","POPULATION","FEMALE","POPULATION","OFFENDERS","OFFENDERS"
"Black","","9,748","58.87%","2,619","50.87%","12,367","56.98%"
"White","","6,497","39.24%","2,425","47.11%","8,922","41.10%"
"Hispanic","","111","0.67%","17","0.33%","128","0.59%"
"Native American","","16","0.10%","5","0.10%","21","0.10%"
"Asian","","38","0.23%","17","0.33%","55","0.25%"
"Data Unavailable","","148","0.89%","65","1.26%","213","0.98%"
"TOTAL","","16,558","100.00%","5,148","100.00%","21,706","100.00%"
