"COMMUNITY CORRECTIONS STATISTICS","",""
"STATUS","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Probation","10,442","27.72%"
"Probation - Compact","1,050","2.79%"
"Probation - Nonadjudicated","4,297","11.41%"
"Probation - Post Release","12,013","31.89%"
"PROBATION TOTAL","27,802","73.80%"
"Parole","6,524","17.32%"
"Parole - Compact","334","0.89%"
"Parole - Suspension","0",".00%"
"PAROLE TOTAL","6,858","18.20%"
"Intensive Supervision Program - Court","1,118","2.97%"
"Intensive Supervision Program - Prison","459","1.22%"
"Earned Release Supervision","1,398","3.71%"
"Medical Release","36",".10%"
"COMMUNITY INMATE TOTAL","3,011","7.99%"
"TOTAL","37,671","100.00%"
