"COMMUNITY CORRECTIONS STATISTICS","",""
"ACTIVE CASELOADS","",""
"","NO. OF","% of TOTAL"
"STATUS","OFFENDERS","OFFENDERS"
"Probation","9,624","24.35%"
"Probation - Compact","1,134","2.87%"
"Probation - Nonadjudicated","4,189","10.60%"
"Probation - Post Release","14,721","37.25%"
"PROBATION TOTAL","29,668","75.07%"
"Parole","6,292","15.92%"
"Parole - Compact","273","0.69%"
"Parole - Suspension","0",".00%"
"PAROLE TOTAL","6,565","16.61%"
"Intensive Supervision Program - Court","1,148","2.90%"
"Intensive Supervision Program - Prison","509","1.29%"
"Earned Release Supervision","1,602","4.05%"
"Medical Release","28",".07%"
"COMMUNITY INMATE TOTAL","3,287","8.32%"
"TOTAL","39,520","100.00%"
