"INMATE STATISTICS (continued)","","","","","","","","","","","","","","","","",""
"","","% OF","","","","","","","% OF","","","","","","","","% OF"
"","","TOTAL MALE","","","","","","","TOTAL FEMALE","","","","NO. OF","","","","TOTAL"
"RACE
MALE","","POPULATION","","","","FEMALE","","","POPULATION","","","","OFFENDERS","","","","OFFENDERS"
"Black
15,978","","67.20%","","","","987","","","42.88%","","","","16,965","","","","65.04%"
"White
7,495","","31.52%","","","","1,290","","","56.04%","","","","8,785","","","","33.68%"
"Hispanic
219","",".92%","","","","17","","",".74%","","","","236","","","",".90%"
"Native American
35","",".15%","","","","","","",".26%","","","","41","","","",".16%"
"Asian
44","",".19%","","","","","","",".04%","","","","45","","","",".17%"
"Data Unavailable
5","",".02%","","","","1","","",".04%","","","","10","","","",".04%"
"TOTAL
23,776","","100.00%","","","","2,302","","","100.00%","","","","26,082","","","","100.00%"
"BY RACE/SEX AND LOCATION","","","","","","","","","","","","","","","","",""
"","","Black","","","White","","","Hispanic","","Native American","","","Asian","","","Data Unavailable","TOTAL"
"LOCATION","Male","","Female","Male","Female","","Male","Female","","Male","Female","Male","","Female","Male","Female",""
"MSP","2,302","","0","1,055","1","","13","0","","3","0","3","","0","0","0","3,377"
"CMCF","1,447","","448","826","514","","16","4","","8","3","2","","1","","0","3,269"
"SMCI","2,124","","0","1,020","0","","41","0","","4","0","0","","9","0","0","3,198"
"County Jails (approved)","895","","41","519","54","","5","0","","4","1","2","","0","0","0","1,521"
"County Jails (unapproved)","166","","14","85","18","","8","1","","","0","0","","0","0","0","292"
"Youthful Offender Facility","24","","0","13","0","","0","0","","0","0","0","","0","0","0","37"
"Private Prisons","3,312","","0","1,059","0","","33","0","","5","0","6","","0","0","0","4,415"
"Regional Correctional Facilities","2,789","","141","1,285","156","","41","2","","2","1","8","","0","0","0","4,425"
"Community Work Centers","740","","70","418","149","","","1","","0","2","5","","0","0","0","1,385"
"Community Trusties","7","","0","2","0","","0","0","","0","0","0","","0","0","0","9"
"Pending File Review","18","","3","15","2","","","0","","0","0","","","0","0","0","38"
"Court Order","196","","17","124","23","","3","1","","0","0","1","","0","0","0","365"
"","14,020","","734","6,421","917","","160","9","","26","7","27","","10","0","0","22,331"
"Intensive Supervison Program","653","","166","471","239","","7","3","","2","0","4","","0","2","2","1,549"
"Earned Release Supervision","1,038","","82","419","105","","3","0","","3","0","2","","0","0","0","1,652"
"Medical Release","15","","1","5","2","","0","0","","0","0","0","","0","0","0","23"
"Other Custody","229","","9","161","28","","47","5","","1","1","3","","0","3","0","487"
"At Large","18","","0","8","2","","3","0","","0","0","0","","0","0","0","31"
"Off-Grounds Medical (Hospital)","4","","0","5","0","","0","0","","0","0","0","","0","0","0","9"
"TOTAL","15,977","","992","7,490","1,293","","220","17","","32","8","36","","10","5","2","26,082"
"% OF TOTAL OFFENDERS","61.26%","","3.80%","28.72%","4.96%","",".84%",".07%","",".12%",".03%",".14%","",".04%",".02%",".01%","6 1
100.00%"
