"INMATE STATISTICS","","",""
"BY LOCATION","","",""
"","","NO. OF","% OF TOTAL"
"","CAPACITY","OFFENDERS","OFFENDERS"
"Mississippi State Penitentiary","4,648","3,108","14.51%"
"Central Mississippi Correctional Facility","3,469","2,069","9.66%"
"South Mississippi Correctional Institution","3,282","2,421","11.30%"
"Youthful Offender Facility","58","27","0.13%"
"County Jails - Approved*","1,985","1,075","5.02%"
"County Jails - Unapproved**","0","138","0.64%"
"Community Work Centers","1,870","1,068","4.99%"
"TVC","0","","0.00%"
"Transitional Housing","0","","0.00%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","15,312","9,906","46.25%"
"Regional Correctional Facilities","","",""
"Alcorn County Correctional Facility","300","298","1.39%"
"Bolivar County Correctional Facility","367","362","1.69%"
"Carroll County Correctional Facility","274","261","1.22%"
"Chickasaw County Correctional Facility","299","297","1.39%"
"George County Correctional Facility","271","248","1.16%"
"Holmes County Correctional Facility","268","251","1.17%"
"Issaquena County Correctional Facility","274","254","1.19%"
"Jefferson County Correctional Facility","280","251","1.17%"
"Kemper County Correctional Facility","355","319","1.49%"
"Leake County Correctional Facility","280","241","1.13%"
"Marion County Correctional Facility","280","275","1.28%"
"Stone County Correctional Facility","280","266","1.24%"
"Washington County Correctional Facility","300","265","1.24%"
"Winston County Correctional Facility","280","262","1.22%"
"Yazoo County Correctional Facility","300","278","1.30%"
"TOTAL REGIONAL FACILITIES","4,408","4,128","19.27%"
"Private Prisons","","",""
"Delta Correctional Facility","972","0","0.00%"
"East MS Correctional Facility","1,500","1,184","5.53%"
"Marshall County Correctional Facility","1,000","996","4.65%"
"Walnut Grove Correctional Facility","1,500","1,141","5.33%"
"Wilkinson County Correctional Facility","1,099","889","4.15%"
"TOTAL PRIVATE PRISONS","6,071","4,210","19.66%"
"Community Trusties","0","9",".04%"
"Emergency Suspension","","0",".00%"
"Pending File Review","","63",".29%"
"Court Order","0","258","1.20%"
"TOTAL CAPACITY & CUSTODY POPULATION","25,791","18,574","86.72%"
"Intensive Supervision Program","0","1,257","5.87%"
"Earned Release Supervision Program","","1,005","4.69%"
"Medical Release","","19","0.09%"
"TOTAL COMMUNITY CORRECTIONS","","2,281","10.65%"
"Other Custody","","528","2.47%"
"Off-Grounds Medical (Hospital)","","9","0.04%"
"At Large (Escapees & Walk-Aways)","","27","0.13%"
"TOTAL","25,791","21,419","0 0
00
00
00
#REF!"
